9/13/2015 12:24,The NFP Project,31.5,124.4,546,e
9/13/2015 12:24,Peter Pan's Poor Nanna,1.9,104.2,556,f
9/13/2015 12:24,Bill T. Sherm's Tank-A-Palooza,14.9,115.4,545,f
9/13/2015 12:29,Team Shokunbi,20.2,100.6,474,a
9/13/2015 12:29,Goodels Goons,47.4,123.3,416,a
9/13/2015 12:29,Russell Wilsons Secret Stuff,21.5,108.9,475,b
9/13/2015 12:29,Urban Fervor,28,110.7,456,b
9/13/2015 12:29,The Fucking JFK Mystery Bullets,24.7,121.1,538,c
9/13/2015 12:29,Loafs n' Jugs,7.1,105.1,550,c
9/13/2015 12:29,12.5 PSI,6.2,101.2,597,d
9/13/2015 12:29,Pierre Paul's  Index Finger,39.9,126.8,478,d
9/13/2015 12:29,Cameron's Cuties,26.5,120,492,e
9/13/2015 12:29,The NFP Project,32.5,124.5,540,e
9/13/2015 12:29,Peter Pan's Poor Nanna,5.1,106,548,f
9/13/2015 12:29,Bill T. Sherm's Tank-A-Palooza,19.9,119.4,539,f
9/13/2015 12:34,Team Shokunbi,21.3,100.3,464,a
9/13/2015 12:34,Goodels Goons,47.8,121.9,405,a
9/13/2015 12:34,Russell Wilsons Secret Stuff,21.5,105.2,458,b
9/13/2015 12:34,Urban Fervor,29.2,111.6,455,b
9/13/2015 12:34,The Fucking JFK Mystery Bullets,24.7,120.5,534,c
9/13/2015 12:34,Loafs n' Jugs,7.1,104.4,546,c
9/13/2015 12:34,12.5 PSI,6.2,100.5,593,d
9/13/2015 12:34,Pierre Paul's  Index Finger,38.9,122.8,461,d
9/13/2015 12:34,Cameron's Cuties,27,119.3,482,e
9/13/2015 12:34,The NFP Project,32.5,122.3,530,e
9/13/2015 12:34,Peter Pan's Poor Nanna,5.1,103.5,533,f
9/13/2015 12:34,Bill T. Sherm's Tank-A-Palooza,18.3,116.2,530,f
9/13/2015 12:39,Team Shokunbi,24,100.2,446,a
9/13/2015 12:39,Goodels Goons,49.1,121.1,393,a
9/13/2015 12:39,Russell Wilsons Secret Stuff,22,103.4,448,b
9/13/2015 12:39,Urban Fervor,34.4,115.8,450,b
9/13/2015 12:39,The Fucking JFK Mystery Bullets,26,118.6,517,c
9/13/2015 12:39,Loafs n' Jugs,7.1,102.6,534,c
9/13/2015 12:39,12.5 PSI,7.4,99.4,575,d
9/13/2015 12:39,Pierre Paul's  Index Finger,37.9,121.1,456,d
9/13/2015 12:39,Cameron's Cuties,28.2,119.7,478,e
9/13/2015 12:39,The NFP Project,32.5,121.7,523,e
9/13/2015 12:39,Peter Pan's Poor Nanna,6.3,103.9,528,f
9/13/2015 12:39,Bill T. Sherm's Tank-A-Palooza,24.7,120.7,520,f
9/13/2015 12:44,Team Shokunbi,22,97.8,443,a
9/13/2015 12:44,Goodels Goons,49.1,120.7,390,a
9/13/2015 12:44,Russell Wilsons Secret Stuff,22.7,102.9,443,b
9/13/2015 12:44,Urban Fervor,34.4,115.8,450,b
9/13/2015 12:44,The Fucking JFK Mystery Bullets,28.5,120.5,513,c
9/13/2015 12:44,Loafs n' Jugs,7.1,102.5,533,c
9/13/2015 12:44,12.5 PSI,6.6,98.1,572,d
9/13/2015 12:44,Pierre Paul's  Index Finger,37.6,120,451,d
9/13/2015 12:44,Cameron's Cuties,31.2,122.3,474,e
9/13/2015 12:44,The NFP Project,32.9,121.3,519,e
9/13/2015 12:44,Peter Pan's Poor Nanna,6.3,103.2,524,f
9/13/2015 12:44,Bill T. Sherm's Tank-A-Palooza,25.8,121.4,518,f
9/13/2015 12:49,Team Shokunbi,21.5,93.9,426,a
9/13/2015 12:49,Goodels Goons,49.1,116.1,367,a
9/13/2015 12:49,Russell Wilsons Secret Stuff,20.7,98.2,425,b
9/13/2015 12:49,Urban Fervor,36.2,113.3,429,b
9/13/2015 12:49,The Fucking JFK Mystery Bullets,29.7,117.9,496,c
9/13/2015 12:49,Loafs n' Jugs,7.1,95.2,492,c
9/13/2015 12:49,12.5 PSI,6.6,95.1,542,d
9/13/2015 12:49,Pierre Paul's  Index Finger,38.2,117.9,435,d
9/13/2015 12:49,Cameron's Cuties,33.5,121.6,458,e
9/13/2015 12:49,The NFP Project,35.6,120.2,494,e
9/13/2015 12:49,Peter Pan's Poor Nanna,7.2,99.3,499,f
9/13/2015 12:49,Bill T. Sherm's Tank-A-Palooza,24.2,115.6,495,f
9/13/2015 12:54,Team Shokunbi,21.7,91.9,416,a
9/13/2015 12:54,Goodels Goons,49.1,114.6,357,a
9/13/2015 12:54,Russell Wilsons Secret Stuff,21.5,97.6,416,b
9/13/2015 12:54,Urban Fervor,36.2,112.7,426,b
9/13/2015 12:54,The Fucking JFK Mystery Bullets,29.9,115.8,482,c
9/13/2015 12:54,Loafs n' Jugs,7.3,94.8,489,c
9/13/2015 12:54,12.5 PSI,7.4,93,527,d
9/13/2015 12:54,Pierre Paul's  Index Finger,38.2,114.4,414,d
9/13/2015 12:54,Cameron's Cuties,33.5,119.8,444,e
9/13/2015 12:54,The NFP Project,39.4,122,478,e
9/13/2015 12:54,Peter Pan's Poor Nanna,7.2,96.1,482,f
9/13/2015 12:54,Bill T. Sherm's Tank-A-Palooza,24.3,112.2,477,f
9/13/2015 12:59,Team Shokunbi,24.5,94,412,a
9/13/2015 12:59,Goodels Goons,51.4,115.7,351,a
9/13/2015 12:59,Russell Wilsons Secret Stuff,21.8,97.3,412,b
9/13/2015 12:59,Urban Fervor,36.2,112.3,424,b
9/13/2015 12:59,The Fucking JFK Mystery Bullets,28.9,113.6,475,c
9/13/2015 12:59,Loafs n' Jugs,10,96.6,484,c
9/13/2015 12:59,12.5 PSI,7.9,92.4,521,d
9/13/2015 12:59,Pierre Paul's  Index Finger,38.2,113.6,408,d
9/13/2015 12:59,Cameron's Cuties,33.5,118.8,438,e
9/13/2015 12:59,The NFP Project,40.8,122.7,472,e
9/13/2015 12:59,Peter Pan's Poor Nanna,7.2,95.8,480,f
9/13/2015 12:59,Bill T. Sherm's Tank-A-Palooza,24.3,111.2,472,f
9/13/2015 13:04,Team Shokunbi,26.5,94.9,404,a
9/13/2015 13:04,Goodels Goons,51.5,114.9,345,a
9/13/2015 13:04,Russell Wilsons Secret Stuff,22.1,96.1,406,b
9/13/2015 13:04,Urban Fervor,36.2,112.2,423,b
9/13/2015 13:04,The Fucking JFK Mystery Bullets,30.1,113.3,466,c
9/13/2015 13:04,Loafs n' Jugs,10.3,96.5,480,c
9/13/2015 13:04,12.5 PSI,7.2,90.6,513,d
9/13/2015 13:04,Pierre Paul's  Index Finger,38.6,113.3,403,d
