"player","pos","pred_cost","ppg","pred_cost2"
"Ted Ginn Jr","WR",8.19525750822709,6.04605384615385,15.0952575082271
"Phillip Dorsett","WR",9.76667498320751,6.90362307692308,16.6666749832075
"Eric Ebron","TE",8.5303996502745,6.57220769230769,14.5303996502745
"Paul Perkins","RB",8.19525750822709,4.79452307692308,18.3952575082271
"Tajae Sharpe","WR",8.19525750822709,3.58476153846154,15.0952575082271
"Pierre Garcon","WR",12.5880452657985,7.17191538461538,19.4880452657985
"Jordan Howard","RB",8.19525750822709,6.17484615384615,18.3952575082271
"Sammie Coates","WR",8.19525750822709,7.80663076923077,15.0952575082271
"Jared Cook","TE",9.81589285148969,5.51406153846154,15.8158928514897
"Anquan Boldin","WR",14.6391997123143,6.12153076923077,21.5391997123143
"Aaron Hernandez","TE",3.8073757533544,NA,9.8073757533544
"Ahmad Bradshaw","RB",5.11491309332826,0,15.3149130933283
"Alfred Blue","RB",4.2290830083564,3.57373076923077,14.4290830083564
"Andre Brown","RB",3.32334373788318,NA,13.5233437378832
"Andre Ellington","RB",5.94775315756894,3.85873846153846,16.1477531575689
"Andre Johnson","WR",6.25134542448135,1.29152307692308,13.1513454244813
"Andre Roberts","WR",3.35440060232298,1.44873846153846,10.254400602323
"Andre Williams","RB",4.77594612620996,1.3647,14.97594612621
"Anthony Allen","RB",3.80967796734849,NA,14.0096779673485
"Anthony Gonzalez","WR",3.84760769668094,NA,10.7476076966809
"Antonio Bryant","WR",3.84760769668094,NA,10.7476076966809
"Austin Collie","WR",3.90153317946889,NA,10.8015331794689
"Beanie Wells","RB",3.85526800247057,NA,14.0552680024706
"BenJarvus Green-Ellis","RB",3.35151314882692,NA,13.5515131488269
"Benny Cunningham","RB",5.18255466159934,4.4399,15.3825546615993
"Ben Tate","RB",4.50023144269522,NA,14.7002314426952
"Bernard Berrian","WR",3.84760769668094,NA,10.7476076966809
"Bernard Pierce","RB",4.58504693682418,0.0893230769230769,14.7850469368242
"Bernard Scott","RB",3.80967796734849,NA,14.0096779673485
"Bishop Sankey","RB",4.754469597103,0,14.954469597103
"Blaine Gabbert","QB",3.32334373788318,12.7154076923077,17.7233437378832
"Brandon Jacobs","RB",3.87866456112075,NA,14.0786645611207
"Brandon LaFell","WR",3.32334373788318,5.30796153846154,10.2233437378832
"Brandon Lloyd","WR",3.8029487152903,NA,10.7029487152903
"Brandon Myers","TE",3.31564082857644,0.379684615384615,9.31564082857644
"Brandon Pettigrew","TE",3.32902883763448,1.45801538461538,9.32902883763448
"Brandon Weeden","QB",3.31564082857644,1.07976153846154,17.7156408285764
"Braylon Edwards","WR",3.87866456112075,NA,10.7786645611208
"Brent Celek","TE",3.80967796734849,3.40937692307692,9.80967796734849
"Brett Favre","QB",3.84760769668094,NA,18.2476076966809
"Brian Brohm","QB",3.84760769668094,NA,18.2476076966809
"Brian Hoyer","QB",5.0448972952853,1.92310769230769,19.4448972952853
"Brian Quick","WR",3.76825047168372,2.53247692307692,10.6682504716837
"Bryce Brown","RB",3.31564082857644,0.353261538461538,13.5156408285764
"Cadillac Williams","RB",3.84760769668094,NA,14.0476076966809
"Calvin Johnson","WR",10.6538620821377,NA,17.5538620821377
"Cecil Shorts","WR",5.28855074835972,3.43904615384615,12.1885507483597
"Cedric Benson","RB",3.86052119998547,NA,14.0605211999855
"Chad Henne","QB",3.84760769668094,0.401807692307692,18.2476076966809
"Chad Ochocinco","WR",3.89220121809841,NA,10.7922012180984
"Charles Clay","TE",5.18255466159934,6.62221538461539,11.1825546615993
"Charles Johnson","WR",5.3207475912296,1.85670769230769,12.2207475912296
"Chaz Schilens","WR",3.84760769668094,NA,10.7476076966809
"Chester Taylor","RB",3.84760769668094,NA,14.0476076966809
"Chris Cooley","TE",3.87866456112075,NA,9.87866456112075
"Chris Givens","WR",3.32334373788318,1.46433076923077,10.2233437378832
"Christian Ponder","QB",3.30304289598444,0,17.7030428959844
"C.J. Spiller","RB",6.68231287537461,4.26453846153846,16.8823128753746
"Clinton Portis","RB",3.84760769668094,NA,14.0476076966809
"Cody Latimer","WR",3.55482257024743,2.07915384615385,10.4548225702474
"Cole Beasley","WR",3.55482257024743,5.81333076923077,10.4548225702474
"Colin Kaepernick","QB",5.64364473344987,5.77984615384615,20.0436447334499
"Colt McCoy","QB",3.87866456112075,1.14470769230769,18.2786645611208
"Cordarrelle Patterson","WR",5.13287030812621,1.14673076923077,12.0328703081262
"Dallas Clark","TE",3.89220121809841,NA,9.89220121809841
"Daniel Thomas","RB",3.86052119998547,0,14.0605211999855
"Danny Amendola","WR",5.16177555426911,4.3091,12.0617755542691
"Darrius Heyward-Bey","WR",3.31074580529118,2.63112307692308,10.2107458052912
"Darvin Adams","WR",3.80967796734849,NA,10.7096779673485
"Daryl Richardson","RB",3.95371666793478,0.290930769230769,14.1537166679348
"Davante Adams","WR",5.96992082376005,4.77903846153846,12.8699208237601
"David Cobb","RB",3.55482257024743,0.495138461538462,13.7548225702474
"David Garrard","QB",3.87866456112075,NA,18.2786645611208
"David Wilson","RB",3.80967796734849,NA,14.0096779673485
"Davone Bess","WR",3.87866456112075,NA,10.7786645611208
"Deion Branch","WR",3.87866456112075,NA,10.7786645611208
"Denarius Moore","WR",3.30272541054665,NA,10.2027254105467
"Dennis Pitta","TE",5.06340022977176,1.13933076923077,11.0634002297718
"Derrick Mason","WR",3.84760769668094,NA,10.7476076966809
"Devery Henderson","WR",3.84760769668094,NA,10.7476076966809
"Devin Aromashodu","WR",3.84760769668094,NA,10.7476076966809
"Donald Brown","RB",5.11970537872385,1.22242307692308,15.3197053787239
"Donald Driver","WR",3.87866456112075,NA,10.7786645611208
"Donovan McNabb","QB",3.87866456112075,NA,18.2786645611208
"Dustin Keller","TE",3.87866456112075,NA,9.87866456112075
"Dwayne Bowe","WR",5.38058591962521,0,12.2805859196252
"Early Doucet","WR",3.84760769668094,NA,10.7476076966809
"Eddie Royal","WR",3.58738446580366,4.40366923076923,10.4873844658037
"EJ Manuel","QB",4.48809599420984,0.667192307692308,18.8880959942098
"Felix Jones","RB",3.86112238528876,NA,14.0611223852888
"Fred Davis","TE",3.80034893131512,0,9.80034893131512
"Fred Jackson","RB",4.67631869118175,0,14.8763186911817
"Geno Smith","QB",4.58975294021413,2.04216153846154,18.9897529402141
"Greg Jennings","WR",4.55055583552773,0,11.4505558355277
"Greg Little","WR",3.8407348317883,0,10.7407348317883
"Hakeem Nicks","WR",5.55404355364181,0.205715384615385,12.4540435536418
"Heath Miller","TE",5.18255466159934,NA,11.1825546615993
"Hines Ward","WR",3.87866456112075,NA,10.7786645611208
"Isaac Redman","RB",3.31074580529118,NA,13.5107458052912
"Isaiah Pead","RB",3.32199569951203,0,13.521995699512
"Jacob Tamme","TE",3.80967796734849,4.75560769230769,9.80967796734849
"Jacoby Ford","WR",3.87866456112075,0,10.7786645611208
"Jacoby Jones","WR",3.32334373788318,0,10.2233437378832
"Jacquizz Rodgers","RB",3.32334373788318,1.25360769230769,13.5233437378832
"Jahvid Best","RB",3.84760769668094,NA,14.0476076966809
"Jake Locker","QB",4.29442478219789,NA,18.6944247821979
"James Jones","WR",3.98477353237459,4.63846153846154,10.8847735323746
"Jason Campbell","QB",3.87866456112075,NA,18.2786645611208
"Jeremy Kerley","WR",3.32334373788318,1.44246153846154,10.2233437378832
"Jermichael Finley","TE",3.64681972324209,NA,9.64681972324209
"Jerome Harrison","RB",3.87866456112075,NA,14.0786645611207
"Jerome Simpson","WR",3.87866456112075,2.20959230769231,10.7786645611208
"Jerricho Cotchery","WR",3.84760769668094,0,10.7476076966809
"Joe Adams","WR",3.80967796734849,NA,10.7096779673485
"Joey Galloway","WR",3.84760769668094,NA,10.7476076966809
"John Carlson","TE",3.84760769668094,0,9.84760769668094
"Johnny Knox","WR",3.87866456112075,NA,10.7786645611208
"Johnny Manziel","QB",5.18255466159934,0,19.5825546615993
"John Skelton","QB",3.80967796734849,NA,18.2096779673485
"Joique Bell","RB",5.32465238103911,0,15.5246523810391
"Jonas Gray","RB",3.55482257024743,1.0005,13.7548225702474
"Jonathan Dwyer","RB",3.32334373788318,0,13.5233437378832
"Jon Baldwin","WR",3.80967796734849,NA,10.7096779673485
"Jordan Cameron","TE",4.42491916857787,5.47803846153846,10.4249191685779
"Joseph Addai","RB",3.89845092931792,NA,14.0984509293179
"Josh Freeman","QB",3.81009342931156,0,18.2100934293116
"Josh McCown","QB",4.99296839112831,3.86479230769231,19.3929683911283
"Josh Morgan","WR",3.84760769668094,NA,10.7476076966809
"Justin Blackmon","WR",3.31074580529118,0,10.2107458052912
"Justin Hunter","WR",5.09014096613071,1.10290769230769,11.9901409661307
"Kellen Winslow","TE",3.87866456112075,NA,9.87866456112075
"Kenbrell Thompkins","WR",3.32334373788318,1.79298461538462,10.2233437378832
"Kendall Wright","WR",4.45476424942805,5.90100769230769,11.3547642494281
"Kenny Britt","WR",3.34863293110651,6.8926,10.2486329311065
"Kevin Boss","TE",3.84760769668094,NA,9.84760769668094
"Kevin Kolb","QB",3.86360345013643,NA,18.2636034501364
"Kevin Smith","RB",3.81656021145762,NA,14.0165602114576
"Khiry Robinson","RB",5.18255466159934,3.29516923076923,15.3825546615993
"Knile Davis","RB",4.87468146539538,0.602230769230769,15.0746814653954
"Knowshon Moreno","RB",4.58453122188237,0,14.7845312218824
"Kyle Orton","QB",3.87866456112075,NA,18.2786645611208
"Kyle Rudolph","TE",5.00143008037802,5.96275384615385,11.001430080378
"LaDainian Tomlinson","RB",3.87866456112075,NA,14.0786645611207
"Lance Moore","WR",3.33179754643015,0,10.2317975464302
"Larry Donnell","TE",3.55482257024743,3.48028461538461,9.55482257024743
"Laurence Maroney","RB",3.84760769668094,NA,14.0476076966809
"Laurent Robinson","WR",3.80967796734849,NA,10.7096779673485
"Lee Evans","WR",3.87866456112075,NA,10.7786645611208
"Leonard Hankerson","WR",3.80967796734849,1.42515384615385,10.7096779673485
"Leon Washington","RB",3.84760769668094,NA,14.0476076966809
"Malcom Floyd","WR",3.08010844026882,NA,9.98010844026882
"Marcedes Lewis","TE",3.87866456112075,2.46557692307692,9.87866456112075
"Mario Manningham","WR",3.85427148876596,NA,10.754271488766
"Marion Barber","RB",3.84760769668094,NA,14.0476076966809
"Mark Sanchez","QB",3.87866456112075,11.3473923076923,18.2786645611208
"Marqise Lee","WR",5.18255466159934,2.80462307692308,12.0825546615993
"Marques Colston","WR",5.73962867416616,0,12.6396286741662
"Marshawn Lynch","RB",3.89845092931792,0,14.0984509293179
"Martavis Bryant","WR",4.2290830083564,0,11.1290830083564
"Matt Cassel","QB",3.80967796734849,0.909430769230769,18.2096779673485
"Matt Hasselbeck","QB",3.87866456112075,NA,18.2786645611208
"Matt Leinart","QB",3.84760769668094,NA,18.2476076966809
"Matt Schaub","QB",4.10109805337668,0.0351461538461538,18.5010980533767
"Maurice Jones-Drew","RB",6.67074350338804,NA,16.870743503388
"Michael Bush","RB",3.84761707589742,NA,14.0476170758974
"Michael Turner","RB",3.84754223670776,NA,14.0475422367078
"Michael Vick","QB",5.14693034890866,0,19.5469303489087
"Mike Sims-Walker","WR",3.87866456112075,NA,10.7786645611208
"Mike Thomas","WR",3.89845092931792,1.65384615384615,10.7984509293179
"Mike Thomas","WR",3.89845092931792,1.43799230769231,10.7984509293179
"Mike Tolbert","RB",3.86360345013643,3.89765384615385,14.0636034501364
"Mike Williams","WR",3.33409976042425,0,10.2340997604242
"Miles Austin","WR",3.93792961791432,0,10.8379296179143
"Mohamed Massaquoi","WR",3.84760769668094,NA,10.7476076966809
"Montario Hardesty","RB",3.87866456112075,NA,14.0786645611207
"Montee Ball","RB",4.12295415115617,0,14.3229541511562
"Nate Burleson","WR",3.8407348317883,NA,10.7407348317883
"Nate Washington","WR",3.30844359129708,2.33206153846154,10.2084435912971
"Nelson Agholor","WR",5.3207475912296,5.92013846153846,12.2207475912296
"Nick Foles","QB",4.20418521215201,0.126361538461538,18.604185212152
"Owen Daniels","TE",3.25860063645449,0,9.25860063645449
"Pat White","QB",3.84760769668094,NA,18.2476076966809
"Percy Harvin","WR",4.85562872742492,0,11.7556287274249
"Peyton Hillis","RB",3.80967796734849,NA,14.0096779673485
"Peyton Manning","QB",9.92882388981592,NA,24.3288238898159
"Pierre Thomas","RB",5.05578952083717,0,15.2557895208372
"Plaxico Burress","WR",3.89360457508297,NA,10.793604575083
"Randy Moss","WR",3.80967796734849,NA,10.7096779673485
"Rashard Mendenhall","RB",3.66736285774061,NA,13.8673628577406
"Ray Rice","RB",6.51076570677438,0,16.7107657067744
"Reggie Bush","RB",5.66059468153336,1.17725384615385,15.8605946815334
"Reggie Wayne","WR",5.69889954159033,NA,12.5988995415903
"Ricky Williams","RB",3.87866456112075,NA,14.0786645611207
"Riley Cooper","WR",5.26202746892412,0,12.1620274689241
"Robert Meachem","WR",3.8384326177942,NA,10.7384326177942
"Roddy White","WR",6.25042751362807,0,13.1504275136281
"Ronnie Brown","RB",3.87866456112075,0,14.0786645611207
"Ronnie Hillman","RB",3.0946084953583,4.11757692307692,13.2946084953583
"Royce Adams","WR",3.80967796734849,NA,10.7096779673485
"Roy Helu","RB",4.55584841991961,0.287792307692308,14.7558484199196
"Roy Williams","WR",3.87866456112075,NA,10.7786645611208
"Rueben Randle","WR",4.30298837523588,4.39046923076923,11.2029883752359
"Ryan Broyles","WR",3.32334373788318,0,10.2233437378832
"Ryan Grant","RB",3.89845092931792,NA,14.0984509293179
"Ryan Torain","RB",3.87866456112075,NA,14.0786645611207
"Sammy Morris","RB",3.84760769668094,NA,14.0476076966809
"Santana Moss","WR",3.87866456112075,NA,10.7786645611208
"Santonio Holmes","WR",3.86112238528876,0,10.7611223852888
"Shane Vereen","RB",3.80977908006477,7.12652307692308,14.0097790800648
"Shaun Hill","QB",5.18255466159934,0.540192307692308,19.5825546615993
"Shonn Greene","RB",4.59910875669089,0,14.7991087566909
"Sidney Rice","WR",3.89682741331888,NA,10.7968274133189
"Stevan Ridley","RB",6.58749173911667,2.35466923076923,16.7874917391167
"Steve Breaston","WR",3.84760769668094,NA,10.7476076966809
"Steve Johnson","WR",3.39283497954289,2.45399230769231,10.2928349795429
"Steven Jackson","RB",6.48237855784882,0,16.6823785578488
"Steve Slaton","RB",3.84760769668094,NA,14.0476076966809
"Steve Smith","WR",5.39338981599135,NA,12.2933898159913
"Tarvaris Jackson","QB",3.87866456112075,0.218923076923077,18.2786645611208
"Terrance West","RB",5.18255466159934,3.87869230769231,15.3825546615993
"Terrance Williams","WR",5.14386295242308,7.26873076923077,12.0438629524231
"Terrell Owens","WR",3.87866456112075,NA,10.7786645611208
"Thomas Jones","RB",3.87866456112075,NA,14.0786645611207
"Tiki Barber","RB",3.87866456112075,NA,14.0786645611207
"Tim Hightower","RB",3.89220121809841,5.60016923076923,14.0922012180984
"Tim Tebow","QB",3.80967796734849,0,18.2096779673485
"Titus Young","WR",3.8407348317883,NA,10.7407348317883
"T.J. Houshmandzadeh","WR",3.84760769668094,NA,10.7476076966809
"Toby Gerhart","RB",4.81899625101885,0,15.0189962510189
"Tony Gonzalez","TE",3.93716679303318,NA,9.93716679303317
"Tre Mason","RB",3.76825047168372,2.67549230769231,13.9682504716837
"Trent Richardson","RB",4.9962255130344,0,15.1962255130344
"Troy Williamson","WR",3.84760769668094,NA,10.7476076966809
"Vernon Davis","TE",4.95635681745329,1.51643076923077,10.9563568174533
"Vick Ballard","RB",3.31564082857644,0,13.5156408285764
"Vincent Brown","WR",3.32334373788318,0,10.2233437378832
"Vince Young","QB",3.84760769668094,NA,18.2476076966809
