player_team,position,age,bye,standard_adp,standard_points,ppr_adp,ppr_points
Eddie Lacy - SEA,RB,26,6,65.336,7.67170744696999,111,9.294812772702812
John Brown - ARI,WR,27,8,101.526,6.53037474995553,112,9.329558863842125
Philip Rivers - LAC,QB,36,8,94.848,15.9628387872262,113,17.40641091531919
SEA D/ST,D/ST,NA,6,76.0133,10.6703590847304,114,5.624665603754731
Corey Davis - TEN,WR,22,8,95.952,6.03300345488411,115,9.09534833143875
Dak Prescott - DAL,QB,24,6,68.324,17.2763279883756,116,17.756716921803875
Rex Burkhead - NE,RB,27,9,111.92,5.59230854057832,117,7.4072676227195
Jamaal Williams - GB,RB,NA,8,109.61,5.29456840615602,118,5.957760563988319
Rishard Matthews - TEN,WR,28,8,96.284,7.38086812601767,119,10.487649416703187
Darren Sproles - PHI,RB,34,10,109.216,6.3338633309768,120,9.590277816863624
Matthew Stafford - DET,QB,29,7,89.078,16.6998573008955,121,18.251810069300813
Ted Ginn - NO,WR,32,5,105.618,6.90680960659784,122,10.34861112593375
Jordan Matthews - BUF,WR,25,6,100.384,6.87138995267698,123,10.549867380505125
HOU D/ST,D/ST,NA,7,88.5067,6.95101863389216,124,5.897513466446438
Cooper Kupp - LAR,WR,24,9,113.7,3.16239312037076,125,5.653461203700369
Zay Jones - BUF,WR,22,6,109.912,6.06551813928134,126,9.408638816068812
Jamaal Charles - DEN,RB,31,5,105.022,5.48592543134965,127,7.344507733402563
KC D/ST,D/ST,NA,10,83.6333,10.9560673425464,128,5.857287144375069
Eric Ebron - DET,TE,24,7,104.496,5.84977868104242,129,9.808649583443563
Mike Wallace - BAL,WR,31,10,100.84,7.1322520344678,130,11.289742940228624
Andy Dalton - CIN,QB,30,6,104.248,16.2252679392259,131,16.959871514273875
Samaje Perine - WAS,RB,22,5,95.304,4.79300732794325,132,4.820439515783269
Kevin White - CHI,WR,24,9,118.57,6.63080839277406,133,10.299898697670812
NE D/ST,D/ST,NA,9,97.22,10.923499943362,134,5.8603031675523685
C.J. Prosise - SEA,RB,23,6,102.646,5.49997693448761,135,7.741478948888562
Danny Amendola - NE,WR,32,9,139.685,4.25896787834177,136,6.116431240794731
Carson Wentz - PHI,QB,25,10,107.664,15.0648241188388,137,15.7874218659495
Matt Forte - NYJ,RB,32,11,115.4825,7.35393826089727,138,9.104959189648625
Jack Doyle - IND,TE,27,11,95.622,5.49946152472673,139,9.222906652140063
Jeremy Hill - CIN,RB,25,6,100.244,6.58886988550869,140,7.358114967263187
ARI D/ST,D/ST,NA,8,97.5467,7.6869361690077,141,6.65733063618375
Kenny Britt - CLE,WR,29,9,97.728,7.3876979791077,142,10.966987036107188
Cole Beasley - DAL,WR,28,6,111.148,5.92312996974447,143,9.976785585245937
Eli Manning - NYG,QB,36,8,102.49,14.9019375325914,144,15.634706121985563
MIN D/ST,D/ST,NA,9,93.7433,6.97587987086543,145,5.912443015205275
NYG D/ST,D/ST,NA,8,133.25,10.7889286927957,146,5.644024446853919
Alvin Kamara - NO,RB,21,5,114.5,4.17708614352829,147,6.172247874309257
Marlon Mack - IND,RB,NA,11,115.825,4.50871055740257,148,5.923004758228144
