"playerId","player","team","playerposition","age","exp","bye","points","lower","upper","sdPts","positionRank","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","games","ptsGame","vor","overallRank","vorLow","vorHigh","vorGame","vorGameLow","vorGameHigh","adp","auctionValue","adpDiff","cost","sleeper"
2553435,"David Johnson","ARI","RB",26,2,8,284.026631973104,264.66,293.732850189898,12.1446161698791,1,43.027443165185,1,29.072850189898,1.2,1.2,0.4,2.94449611363772,16,17.751664498319,165.139397761422,1,172.577796451914,152.375065217373,10.3212123600888,10.7861122782446,9.5234415760858,1.5125,68.5267,-0.5125,76,NA
2540175,"LeVeon Bell","PIT","RB",25,4,9,264.225822758727,248.49,286.409841602121,16.2675197416585,2,50.6182164360986,2,37.9198416021212,1.9,1.8,0.4,2.61138595763566,16,16.5141139224204,145.338588547045,2,156.407796451914,145.052056629596,9.0836617841903,9.77548727824463,9.06575353934975,2.2325,64.8067,-0.2325,72,NA
79607,"LeSean McCoy","BUF","RB",29,8,6,217.77255485711,189.46,229.904298203537,15.9246140356942,3,9.99066536577394,3,40.4442982035367,6.1,3.5,1.1,5.00783987319093,16,13.6107846785694,98.8853206454282,3,97.3777964519141,88.5465132310115,6.18033254033926,6.08611227824463,5.53415707693822,6.9525,53.3267,-3.9525,59,NA
2543583,"Devonta Freeman","ATL","RB",25,3,5,209.442657788146,197.53,217.596975872093,7.74862565176826,4,7.88888662098088,4,20.066975872093,9.8,5.4,1.4,1.88906604323897,16,13.0901661117591,90.5554235764641,4,105.447796451914,76.2391908995678,5.65971397352901,6.59048727824463,4.76494943122299,8.172,46.5433,-4.172,52,NA
2555418,"Jordan Howard","CHI","RB",23,1,9,206.121121194527,200.46,210.244897858788,4.63987783794585,5,10.8003986963944,4,9.78489785878764,12.7,6.9,1.6,2.14350262720038,16,12.8825700746579,87.2338869828445,5,108.377796451914,68.8871128862625,5.45211793642778,6.77361227824463,4.3054445553914,14.83,43.8767,-9.83,49,NA
2508061,"Antonio Brown","PIT","WR",29,7,9,202.953234590732,172.433,226.625754182266,21.592692190572,1,9.82255701496837,1,54.1927541822657,3.5,1.1,0.3,2.42812143917892,16,12.6845771619208,82.4335381406057,6,70.6483889226967,91.1949963324568,5.15209613378786,4.41552430766854,5.69968727077855,3.77,60.94,2.23,68,NA
2495454,"Julio Jones","ATL","WR",28,6,5,199.970255270685,177.4,221.115662590538,19.8527469431253,2,15.0104326808001,1,43.7156625905383,5.7,2.7,0.9,2.89408085462513,16,12.4981409544178,79.4505588205586,7,75.6153889226967,85.6849047407294,4.96565992628491,4.72596180766854,5.35530654629559,5.6875,58.8,1.3125,65,NA
2552469,"Melvin Gordon","LAC","RB",24,2,8,196.986421139804,185.69,202.718372093023,6.93773038531868,6,6.88021266030151,5,17.0283720930233,8.3,4.6,1.4,3.55831291374584,16,12.3116513212378,78.099186928122,8,93.6077964519141,61.3605871204981,4.88119918300763,5.85048727824463,3.83503669503113,8.918,47.6867,-0.917999999999999,53,NA
2506363,"Aaron Rodgers","GB","QB",34,12,8,337.482038916012,310.5204,356.735146511628,17.9226749774007,1,28.2129737070749,1,46.2147465116279,33.7,1.1,0.4,2.68483060558932,16,21.0926274322507,74.811589127017,9,95.0607333333333,77.7041555959937,4.67572432043856,5.94129583333333,4.85650972474961,16.616,32.5533,-7.616,36,NA
2552582,"Jay Ajayi","MIA","RB",24,2,11,193.65502385646,181.5,203.90506162465,10.4606799716849,7,8.55399550420893,5,22.4050616246498,12.6,6.7,1.9,3.29971946782691,16,12.1034389910288,74.7677896447781,10,89.4177964519141,62.5472766521247,4.67298685279863,5.58861227824463,3.90920479075779,11.982,43.5367,-1.982,48,NA
2495207,"DeMarco Murray","TEN","RB",29,6,8,186.557393102545,180.103,189.294674184567,3.4695963141877,8,6.35572345480162,6,9.19167418456743,13.8,7.3,1.7,2.62623862381852,16,11.6598370689091,67.6701588908629,11,88.0207964519141,47.9368892120422,4.22938493067893,5.50129977824463,2.99605557575264,14.0725,42.01,-3.0725,47,NA
1032,"Jordy Nelson","GB","WR",32,9,8,186.291099880842,164.208,194.884802062548,13.5639764884568,3,3.50745739694597,2,30.6768020625477,11,5.5,1.2,2.45449443428272,16,11.6431937425527,65.7714034307161,12,62.4233889226967,59.4540442127388,4.11071271441976,3.90146180766854,3.71587776329617,10.762,46.5633,1.238,52,NA
2552475,"Todd Gurley","LAR","RB",23,2,9,183.644663601958,170.42,194.931914910645,11.1045719301066,9,7.36147979016232,6,24.5119149106451,18.6,10,2.2,2.08997637934586,16,11.4777914751224,64.7574293902754,13,78.3377964519141,53.5741299381199,4.04733933689221,4.89611227824463,3.3483831211325,17.28,34.5,-4.28,38,NA
2543468,"Mike Evans","TB","WR",24,3,11,183.628545298927,168.436783453651,194.937741921647,17.8217448323618,4,6.1474105132142,2,26.5009584679967,9.4,4.7,1.1,2.61004176369609,16,11.476784081183,63.1088488488009,14,66.6521723763475,59.5069840718386,3.94430305305005,4.16576077352172,3.71918650448991,6.296,53.9233,7.704,60,NA
2543496,"Odell Beckham","NYG","WR",25,3,8,181.938739668866,151.05,206.36804007013,26.5475531233317,5,9.77545234948812,2,55.31804007013,5.5,2.6,0.8,2.31442253464462,16,11.3711712293041,61.4190432187394,15,49.2653889226967,70.9372822203212,3.83869020117122,3.07908680766854,4.43358013877007,4.57,57.8667,10.43,64,NA
