player_team,position,age,bye,standard_adp,standard_points,ppr_adp,ppr_points
Dorial Green-Beckham - FA,WR,24,NA,150.75,0,150.75,0
Ryan Succop - TEN,K,31,8,150.79,7.93236822205503,150.79,7.93236822205503
Justin Hardy - ATL,WR,26,5,150.8,2.09863297539031,150.8,3.05849455492938
Dan Carpenter - FA,K,32,NA,150.8,0,150.8,0
Tony Romo - FA,QB,37,NA,150.81,0,150.81,0
DeAngelo Williams - FA,RB,34,NA,150.83,0.697180192572215,150.83,0.809628610729023
Rashad Jennings - FA,RB,32,NA,150.87,0,150.87,0
Dennis Pitta - FA,TE,32,NA,150.88,0,150.88,0
Dwayne Harris - NYG,WR,30,8,150.88,0.473228990786544,150.88,0.908603498937191
Charles Johnson - CAR,WR,28,11,150.89,0.707615140603566,150.89,0.707615140603566
Robert Griffin - FA,QB,27,NA,150.89,0,150.89,0
Roger Lewis - NYG,WR,24,8,150.9,1.66238181537803,150.9,2.27757824394946
Gary Barnidge - FA,TE,32,NA,150.9,0,150.9,0
Kaimi Fairbairn - HOU,K,23,7,150.9,0,150.9,0
Wendall Williams - HOU,WR,NA,7,150.91,0.030462962962963,150.91,0.0530281207133059
Fred Ross - CAR,WR,NA,11,150.91,0,150.91,0
Dwayne Washington - DET,RB,NA,7,150.92,1.5535632603252,150.92,1.95990109056691
Vincent Jackson - FA,WR,34,NA,150.92,1.23721372077029,150.92,2.02716385832187
Damiere Byrd - CAR,WR,NA,11,150.92,0.107272135416667,150.92,0.171518110795455
Michael Campanaro - BAL,WR,26,10,150.93,2.40905627293347,150.93,3.38306203459733
Cobi Hamilton - PIT,WR,27,9,150.93,1.27560669642857,150.93,1.982771875
Mike Davis - SEA,RB,24,6,150.93,0.287050530504929,150.93,0.403865161186747
Malachi Dupre - GB,WR,22,8,150.93,0.561596364883402,150.93,0.98837962962963
Tommylee Lewis - NO,WR,25,5,150.93,0.368182754792287,150.93,0.546575611935144
Justin Forsett - FA,RB,32,NA,150.93,0,150.93,0
Ishmael Zamora - OAK,WR,22,10,150.93,0.17875,150.93,0.29125
Moritz Boehringer - MIN,WR,NA,9,150.93,0,150.93,0
Jacob Tamme - FA,TE,32,NA,150.94,0.894970821661998,150.94,1.46508053221289
Crockett Gillmore - FA,TE,26,NA,150.94,0.799539951989026,150.94,0.799539951989026
Philly Brown - BUF,WR,26,6,150.94,1.84439765265597,150.94,3.03690627334563
T.J. Logan - ARI,RB,23,8,150.94,0.803262650345912,150.94,0.897959620042882
Peyton Barber - TB,RB,23,11,150.94,0.774342416549953,150.94,0.899552237978525
D.J. Foster - NE,RB,NA,9,150.94,0.563125,150.94,0.825625
Antonio Andrews - FA,RB,25,NA,150.94,0.248521505376344,150.94,0.306317204301075
Aaron Green - LAR,RB,25,9,150.94,0.102046939477304,150.94,0.161082359009629
Dare Ogunbowale - HOU,RB,NA,7,150.94,0,150.94,0
Andy Jones - DAL,WR,NA,6,150.94,-0.021774635214768,150.94,0.00532053523977741
Cooper Rush - DAL,QB,NA,6,150.94,-0.00575,150.94,-0.00575
Russell Shepard - CAR,WR,27,11,150.95,2.22929693856884,150.95,3.55831253721976
Brian Quick - WAS,WR,28,5,150.95,2.04151820629636,150.95,3.21695033108557
Jalin Marshall - NYJ,WR,NA,11,150.95,1.80949537418385,150.95,2.82220629016181
Rashard Higgins - CLE,WR,23,9,150.95,1.31602494026517,150.95,1.97359590710047
Jerome Cunningham - FA,TE,26,NA,150.95,0,150.95,0
Chris Matthews - BAL,WR,28,10,150.95,0.603483323963099,150.95,0.797112788248813
Kenny Bell - BAL,WR,25,10,150.95,0.498510452961673,150.95,0.795635888501742
James Starks - FA,RB,31,NA,150.95,0,150.95,0
Devine Redding - KC,RB,NA,10,150.95,0,150.95,0
Jordan Payton - CLE,WR,24,9,150.95,0.0554527698863636,150.95,0.100155658143939
Bennie Fowler - DEN,WR,26,5,150.96,1.79424362338192,150.96,2.64793600674336
Neal Sterling - JAC,TE,NA,8,150.96,0.486283974108208,150.96,0.717466769807133
