"","player","week","fantpt"
"163","Eddie Lacy","1",4.5
"164","Cole Beasley","1",4.2
"165","Larry Fitzgerald","1",4.2
"166","Zach Miller","1",4.2
"167","T.Y. Hilton","1",4.1
"168","Brandon Myers","1",4.1
"169","Ben Tate","1",4.1
"170","Tavon Austin","1",3.9
"171","Justin Brown","1",3.8
"172","Jeremy Kerley","1",3.8
"173","Keenan Allen","1",3.7
"174","Tyler Eifert","1",3.7
"175","Mike Evans","1",3.7
"176","Jordan Matthews","1",3.7
"177","David Nelson","1",3.7
"178","Jonathan Stewart","1",3.7
"179","Kenbrell Thompkins","1",3.7
"180","Mike Brown","1",3.6
"181","Vincent Jackson","1",3.6
"182","Mike Williams","1",3.6
"183","Marcedes Lewis","1",3.5
"184","Jamaal Charles","1",3.4
"185","Owen Daniels","1",3.4
"186","Chris Givens","1",3.4
"187","Leon Washington","1",3.4
"188","Devonta Freeman","1",3.3
"189","Steve Johnson","1",3.3
"190","Jerricho Cotchery","1",3.2
"191","Mychal Rivera","1",3.1
"192","Sammy Watkins","1",3.1
"193","Kamar Aiken","1",3
"194","Jim Dray","1",3
"195","Riley Cooper","1",2.9
"196","Ted Ginn","1",2.9
"197","Stevan Ridley","1",2.8
"198","C.J. Anderson","1",2.7
"199","Charles Clay","1",2.7
"200","Robert Turbin","1",2.7
"201","Brian Hartline","1",2.6
"202","Heath Miller","1",2.6
"203","Austin Seferian-Jenkins","1",2.6
"204","Antwon Blake","1",2.5
"205","Michael Crabtree","1",2.5
"206","Bishop Sankey","1",2.5
"207","Jarius Wright","1",2.5
"208","Victor Cruz","1",2.4
"209","Ladarius Green","1",2.4
"210","Taylor Thompson","1",2.4
"211","Jerrel Jernigan","1",2.3
"212","Maurice Jones-Drew","1",2.3
"213","Rhett Ellison","1",2.2
"214","Frankie Hammond","1",2.2
"215","Andre Roberts","1",2.2
"216","Lance Dunbar","1",2.1
"217","Coby Fleener","1",2.1
"218","Santonio Holmes","1",2.1
"219","Darren McFadden","1",2.1
"220","Miles Austin","1",2
"221","John Carlson","1",2
"222","Jeremy Hill","1",1.9
"223","Eddie Royal","1",1.9
"224","Brandon Tate","1",1.9
"225","Devin Street","1",1.8
"226","Mike Tolbert","1",1.7
"227","Danny Amendola","1",1.6
"228","Andre Caldwell","1",1.6
"229","Jermaine Gresham","1",1.6
"230","Rob Housler","1",1.6
"231","Jacoby Jones","1",1.6
"232","Doug Martin","1",1.6
"233","Matt Asiata","1",1.5
"234","Brent Celek","1",1.5
"235","Tim Wright","1",1.5
"236","Doug Baldwin","1",1.4
"237","Jason Witten","1",1.4
"238","Gary Barnidge","1",1.3
"239","Taylor Gabriel","1",1.3
"240","Brandon Bolden","1",1.2
"241","Lance Kendricks","1",1.2
"242","Brian Leonhardt","1",1.2
"243","Jeff Maehl","1",1.2
"244","Dante Rosario","1",1.2
"245","Greg Salas","1",1.2
"246","Shaun Hill","1",1.1
"247","Denard Robinson","1",1.1
"248","Jordan Todman","1",1.1
"249","Danny Woodhead","1",1.1
"250","Robert Golden","1",1
"251","Brandon Gibson","1",0.9
"252","Derek Hagan","1",0.9
"253","Donte Moncrief","1",0.9
"254","Josh Morgan","1",0.9
"255","Brandon Pettigrew","1",0.9
"256","Dion Sims","1",0.9
"257","Andre Williams","1",0.9
"258","Virgil Green","1",0.8
"259","Jermaine Kearse","1",0.8
"260","Denarius Moore","1",0.8
"261","Micheal Spurlock","1",0.8
"262","Luke Stocker","1",0.8
"263","Jace Amaro","1",0.7
"264","Daniel Fells","1",0.7
"265","DuJuan Harris","1",0.7
"266","Gator Hoskins","1",0.7
"267","Robert Hughes","1",0.7
"268","Jaron Brown","1",0.6
"269","Knile Davis","1",0.6
"270","Ryan Griffin","1",0.6
"271","Travaris Cadet","1",0.5
"272","Cyrus Gray","1",0.5
"273","Dri Archer","1",0.4
"274","Ka'Deem Carey","1",0.4
"275","Cory Harkey","1",0.4
"276","Bilal Powell","1",0.4
"277","Jordan Reed","1",0.4
"278","Theo Riddick","1",0.4
"279","Anthony Sherman","1",0.4
"280","Frank Summers","1",0.4
"281","Ray Agnew","1",0.2
"282","Jonathan Grimes","1",0.2
"283","Gabe Jackson","1",0.1
"284","Damaris Johnson","1",0.1
