"","player","week","fantpt"
"798","Andre Johnson","3",2.4
"799","Jarvis Landry","3",2.4
"800","Mike Tolbert","3",2.4
"801","Trey Watts","3",2.4
"802","Jordan Cameron","3",2.3
"803","Derek Carrier","3",2.3
"804","Anthony Fasano","3",2.3
"805","Robert Meachem","3",2.3
"806","Denarius Moore","3",2.3
"807","LeSean McCoy","3",2.2
"808","Bryan Walters","3",2.2
"809","Charles Clay","3",2.1
"810","Tim Wright","3",2
"811","James Casey","3",1.9
"812","Eric Decker","3",1.9
"813","Bilal Powell","3",1.9
"814","Sammy Watkins","3",1.9
"815","Robert Woods","3",1.9
"816","Jeff Cumberland","3",1.8
"817","Junior Hemingway","3",1.8
"818","Andre Williams","3",1.8
"819","Keenan Allen","3",1.7
"820","Brandon Tate","3",1.7
"821","Ted Ginn","3",1.6
"822","Keshawn Martin","3",1.6
"823","Theo Riddick","3",1.6
"824","Kenbrell Thompkins","3",1.6
"825","Marlon Brown","3",1.5
"826","Jeff Maehl","3",1.5
"827","Dexter McCluster","3",1.5
"828","David Nelson","3",1.5
"829","Cedric Peerman","3",1.5
"830","Jeremy Ross","3",1.5
"831","Luke Stocker","3",1.5
"832","Zach Sudfeld","3",1.5
"833","Derrick Coleman","3",1.4
"834","Zach Ertz","3",1.4
"835","Larry Fitzgerald","3",1.4
"836","Chad Henne","3",1.3
"837","Rishard Matthews","3",1.3
"838","Jason Avant","3",1.2
"839","Donnie Avery","3",1.2
"840","Zach Miller","3",1.2
"841","Dennis Pitta","3",1.2
"842","Davante Adams","3",1.1
"843","Jarrett Boykin","3",1.1
"844","Branden Oliver","3",1.1
"845","Mychal Rivera","3",1.1
"846","Courtney Roby","3",1.1
"847","Mike Williams","3",1.1
"848","Justin Brown","3",1
"849","Jack Doyle","3",1
"850","Frank Gore","3",1
"851","Virgil Green","3",1
"852","Jordan Todman","3",1
"853","Ben Watson","3",1
"854","Cole Beasley","3",0.9
"855","Travaris Cadet","3",0.9
"856","Ronnie Hillman","3",0.9
"857","Santonio Holmes","3",0.9
"858","Joseph Randle","3",0.9
"859","Jacquizz Rodgers","3",0.9
"860","Owen Daniels","3",0.8
"861","Antonio Gates","3",0.8
"862","Marcel Jensen","3",0.8
"863","Jerick McKinnon","3",0.8
"864","Dante Rosario","3",0.8
"865","Ronnie Brown","3",0.7
"866","Gavin Escobar","3",0.7
"867","Matt Hasselbeck","3",0.7
"868","Brian Leonhardt","3",0.7
"869","Logan Paulsen","3",0.7
"870","Paul Richardson","3",0.7
"871","Ryan Hewitt","3",0.6
"872","Brandon Marshall","3",0.6
"873","T.J. Yates","3",0.6
"874","Jackie Battle","3",0.5
"875","Chris Givens","3",0.5
"876","Jermaine Gresham","3",0.5
"877","Robert Herron","3",0.5
"878","Brandon Lloyd","3",0.5
"879","Anthony Sherman","3",0.5
"880","Levine Toilolo","3",0.5
"881","Robert Turbin","3",0.5
"882","Brandon Bolden","3",0.4
"883","Shane Lechler","3",0.4
"884","Jamize Olawale","3",0.4
"885","Frank Summers","3",0.4
"886","Joseph Fauria","3",0.3
"887","Brandon Gibson","3",0.3
"888","Josh McCown","3",0.3
"889","Michael Vick","3",0.3
"890","Jed Collins","3",0.2
"891","DuJuan Harris","3",0.2
"892","Austin Johnson","3",0.2
"893","Stepfan Taylor","3",0.2
"894","Bruce Ellington","3",0.1
"895","Dan Herron","3",0.1
"896","Latavius Murray","3",0.1
"897","Danny Woodhead","3",0.1
"898","Zak DeOssie","3",NA
"899","A.J. Jenkins","3",NA
"900","Devonta Freeman","3",-0.1
"901","Eli Manning","4",32.1
"902","Andrew Luck","4",29.6
"903","Aaron Rodgers","4",28.9
"904","Jamaal Charles","4",28.8
"905","Matt Asiata","4",28
"906","DeMarco Murray","4",27.5
"907","Philip Rivers","4",27.1
"908","Matthew Stafford","4",26.5
"909","Steve Smith","4",25.9
"910","Antonio Brown","4",25.8
"911","Joe Flacco","4",25.4
"912","Tony Romo","4",24.5
"913","Teddy Bridgewater","4",23.4
"914","Larry Donnell","4",23.4
"915","Frank Gore","4",23.4
"916","Randall Cobb","4",23.3
"917","Jordy Nelson","4",22.8
"918","Alex Smith","4",22.7
"919","Eddie Royal","4",22.5
"920","Ben Roethlisberger","4",22.4
"921","Ryan Tannehill","4",20.6
"922","Colin Kaepernick","4",20.5
"923","Drew Brees","4",20.2
"924","Matt Ryan","4",20.1
"925","Terrance Williams","4",19.7
"926","Mike Glennon","4",18.1
"927","Brandon LaFell","4",17.9
"928","Reggie Wayne","4",17.9
"929","Jay Cutler","4",17.1
"930","Matt Forte","4",17.1
"931","Lamar Miller","4",16.7
"932","Trent Richardson","4",15.9
"933","Justin Forsett","4",15.7
"934","Travis Kelce","4",15.3
"935","Jerick McKinnon","4",15.2
"936","Alfred Morris","4",15
"937","Heath Miller","4",14.5
"938","Delanie Walker","4",14.4
"939","Mike Williams","4",14.4
"940","Kelvin Benjamin","4",13.6
"941","Keenan Allen","4",13.5
"942","Martellus Bennett","4",13.4
"943","Andre Holmes","4",13.4
"944","EJ Manuel","4",13.3
"945","Roddy White","4",13.3
"946","Jarius Wright","4",13.2
"947","Charlie Whitehurst","4",13.1
"948","Devin Hester","4",13
"949","Blake Bortles","4",12.6
"950","Jimmy Graham","4",12.6
"951","Cam Newton","4",12.6
"952","Andre Williams","4",12.6
"953","Mike Evans","4",12.5
"954","Jeremy Ross","4",12.5
"955","DeAndre Hopkins","4",12.4
"956","Antone Smith","4",12.2
"957","Ryan Fitzpatrick","4",12.1
"958","Chris Johnson","4",12.1
"959","Knile Davis","4",11.9
"960","Eddie Lacy","4",11.9
"961","Lorenzo Taliaferro","4",11.8
"962","Bishop Sankey","4",11.7
"963","Doug Martin","4",11.6
"964","Golden Tate","4",11.6
"965","Torrey Smith","4",11.3
"966","Ahmad Bradshaw","4",11.2
"967","Alshon Jeffery","4",11.1
"968","T.Y. Hilton","4",11
"969","Le'Veon Bell","4",10.9
"970","Victor Cruz","4",10.8
"971","Eric Decker","4",10.8
"972","Khiry Robinson","4",10.5
"973","Dez Bryant","4",10.4
"974","Chris Ivory","4",10
"975","Malcom Floyd","4",9.9
"976","Louis Murphy","4",9.9
"977","Dwayne Allen","4",9.8
"978","Mike Wallace","4",9.5
"979","Eric Ebron","4",9.4
"980","Vincent Jackson","4",9.2
"981","Rob Gronkowski","4",9.1
"982","Sammy Watkins","4",9
"983","Rueben Randle","4",8.9
"984","Geno Smith","4",8.8
"985","Derek Carr","4",8.7
"986","Coby Fleener","4",8.6
"987","Roy Helu","4",8.6
"988","Fred Jackson","4",8.5
"989","C.J. Spiller","4",8.4
"990","James Jones","4",8.3
"991","Julio Jones","4",8.2
"992","Dwayne Bowe","4",8.1
"993","Jerricho Cotchery","4",8
"994","Toby Gerhart","4",8
"995","Andre Roberts","4",8
"996","Brandon Marshall","4",7.9
"997","Dion Sims","4",7.8
"998","Brian Hartline","4",7.4
"999","Ka'Deem Carey","4",7.2
"1000","Josh Hill","4",7.2
"1001","Greg Jennings","4",7.2
"1002","Steve Johnson","4",7.2
"1003","Darren McFadden","4",7.2
"1004","Clay Harbor","4",7
"1005","Daniel Fells","4",6.8
"1006","Jimmy Garoppolo","4",6.8
"1007","Allen Hurns","4",6.8
"1008","Shane Vereen","4",6.7
"1009","Reggie Bush","4",6.5
"1010","Brian Leonhardt","4",6.3
"1011","Anquan Boldin","4",6.2
"1012","Steven Jackson","4",6.2
"1013","Nic Jacobs","4",6.2
"1014","Kenny Stills","4",6.2
"1015","Patrick DiMarco","4",6.1
"1016","Arian Foster","4",6.1
"1017","Jason Witten","4",6.1
"1018","Niles Paul","4",6
"1019","Greg Salas","4",6
"1020","Daniel Thomas","4",6
"1021","Jace Amaro","4",5.8
"1022","Jeremy Maclin","4",5.7
"1023","Branden Oliver","4",5.6
"1024","Kirk Cousins","4",5.5
"1025","Matt McGloin","4",5.5
"1026","Donald Brown","4",5.4
"1027","Rashad Jennings","4",5.2
"1028","Richard Rodgers","4",5.2
"1029","Andre Johnson","4",5.1
"1030","Marques Colston","4",5
"1031","Markus Wheaton","4",5
"1032","Donnie Avery","4",4.6
"1033","Tom Brady","4",4.4
"1034","Austin Seferian-Jenkins","4",4.4
"1035","Michael Crabtree","4",4.3
"1036","Owen Daniels","4",4.3
"1037","Travaris Cadet","4",4
"1038","Joique Bell","4",3.9
"1039","Rhett Ellison","4",3.9
"1040","Nick Foles","4",3.9
"1041","Cordarrelle Patterson","4",3.8
"1042","Allen Robinson","4",3.8
"1043","Darrin Reaves","4",3.7
"1044","Jacquizz Rodgers","4",3.7
"1045","Lance Dunbar","4",3.6
"1046","James White","4",3.6
"1047","Philly Brown","4",3.5
"1048","Kendall Wright","4",3.5
"1049","Riley Cooper","4",3.4
"1050","DeAngelo Williams","4",3.4
"1051","Charles Clay","4",3.2
"1052","Denard Robinson","4",3.2
"1053","Marlon Brown","4",3.1
"1054","Brandin Cooks","4",3.1
"1055","Peyton Hillis","4",3.1
"1056","Brice Butler","4",3
"1057","Antonio Gates","4",3
"1058","Greg Olsen","4",3
"1059","Russell Shepard","4",3
"1060","Preston Parker","4",2.9
"1061","Derek Anderson","4",2.8
"1062","Pierre Garcon","4",2.8
"1063","Garrett Graham","4",2.8
"1064","Brandon Lloyd","4",2.8
"1065","Jordan Matthews","4",2.8
"1066","Stevan Ridley","4",2.8
"1067","Rishard Matthews","4",2.7
"1068","Brandon Gibson","4",2.6
"1069","Carlos Hyde","4",2.6
"1070","LeGarrette Blount","4",2.5
"1071","Alfred Blue","4",2.5
"1072","Cecil Shorts","4",2.5
"1073","Jason Avant","4",2.4
"1074","Dan Herron","4",2.4
"1075","Josh Morgan","4",2.4
"1076","Jay Prosch","4",2.4
"1077","Jordan Todman","4",2.4
"1078","Julian Edelman","4",2.3
"1079","Zach Ertz","4",2.3
"1080","Pierre Thomas","4",2.3
"1081","Damien Williams","4",2.3
"1082","Kamar Aiken","4",2.2
"1083","Vincent Brown","4",2.2
"1084","Joseph Randle","4",2.2
"1085","Ryan Broyles","4",2.1
"1086","Devonta Freeman","4",2
"1087","Nate Washington","4",2
"1088","Solomon Patton","4",1.9
"1089","Brandon Pettigrew","4",1.9
"1090","Davante Adams","4",1.8
"1091","Damaris Johnson","4",1.8
"1092","Jarvis Landry","4",1.8
"1093","Bobby Rainey","4",1.8
"1094","Chase Ford","4",1.7
"1095","Dwayne Harris","4",1.7
"1096","LeSean McCoy","4",1.7
"1097","Robert Woods","4",1.7
"1098","Scott Chandler","4",1.5
"1099","Bruce Ellington","4",1.5
"1100","Adrien Robinson","4",1.5
"1101","David Ausberry","4",1.4
"1102","Cole Beasley","4",1.4
"1103","Donte Moncrief","4",1.4
"1104","Brenton Bersin","4",1.2
"1105","Mike Brown","4",1.2
"1106","Justin Hunter","4",1.2
"1107","Calvin Johnson","4",1.2
"1108","Lance Moore","4",1.2
"1109","Hakeem Nicks","4",1.2
"1110","Levine Toilolo","4",1.2
"1111","Brad Smith","4",1.1
"1112","Derek Carrier","4",1
"1113","Shonn Greene","4",1
"1114","Mychal Rivera","4",1
"1115","Darrel Young","4",1
"1116","DeSean Jackson","4",0.9
"1117","Vernon Davis","4",0.8
"1118","Kyle Juszczyk","4",0.8
"1119","Logan Paulsen","4",0.8
"1120","Jack Doyle","4",0.7
"1121","David Nelson","4",0.7
"1122","Ben Watson","4",0.7
"1123","Gavin Escobar","4",0.6
"1124","Darren Sproles","4",0.6
"1125","Justin Brown","4",0.5
"1126","Marcel Reece","4",0.5
"1127","Jimmy Clausen","4",0.4
"1128","Will Ta'ufo'ou","4",0.4
"1129","Maurice Jones-Drew","4",0.3
"1130","Jeremy Kerley","4",0.3
"1131","Frank Summers","4",0.3
"1132","Orleans Darkwa","4",0.2
"1133","Austin Johnson","4",0.2
"1134","Jorvorskie Lane","4",0.2
"1135","Theo Riddick","4",0.2
"1136","Dri Archer","4",0.1
"1137","Henry Hynoski","4",0.1
"1138","Dexter McCluster","4",0.1
"1139","Christian Ponder","4",0.1
"1140","J.J. Wilcox","4",NA
"1141","Zach Mettenberger","4",-1.3
"1142","Tauren Poole","4",-2
"1143","Stefen Wisniewski","4",-2
"1144","Isa Abdul-Quddus","4",NA
"1145","Husain Abdullah","4",NA
"1146","Oday Aboushi","4",NA
"1147","Emmanuel Acho","4",NA
"1148","Mike Adams","4",NA
"1149","Mike Adams","4",NA
"1150","Phillip Adams","4",NA
"1151","Jahleel Addae","4",NA
"1152","Mario Addison","4",NA
"1153","Danny Aiken","4",NA
"1154","Walt Aikens","4",NA
"1155","Seyi Ajirotutu","4",NA
"1156","Branden Albert","4",NA
"1157","Robert Alford","4",NA
"1158","Antonio Allen","4",NA
"1159","Beau Allen","4",NA
"1160","Cortez Allen","4",NA
"1161","Nate Allen","4",NA
"1162","Ryan Allen","4",NA
"1163","Will Allen","4",NA
"1164","Tyson Alualu","4",NA
"1165","Danny Amendola","4",NA
"1166","David Amerson","4",NA
"1167","Prince Amukamara","4",NA
"1168","James Anderson","4",NA
"1169","Bryan Anger","4",NA
"1170","Ezekiel Ansah","4",NA
"1171","Terron Armstead","4",NA
"1172","Kyle Arrington","4",NA
"1173","Jon Asamoah","4",NA
"1174","Robert Ayers","4",NA
"1175","Jason Babin","4",NA
"1176","Jonathan Babineaux","4",NA
"1177","Allen Bailey","4",NA
"1178","Dan Bailey","4",NA
"1179","Brandon Bair","4",NA
"1180","Chris Baker","4",NA
"1181","David Bakhtiari","4",NA
"1182","Alan Ball","4",NA
"1183","Johnthan Banks","4",NA
"1184","Joe Banyard","4",NA
"1185","Khalif Barnes","4",NA
"1186","T.J. Barnes","4",NA
"1187","Anthony Barr","4",NA
"1188","Sam Barrington","4",NA
"1189","Mark Barron","4",NA
"1190","Joplo Bartu","4",NA
"1191","Connor Barwin","4",NA
"1192","David Bass","4",NA
"1193","Jackie Battle","4",NA
"1194","Kelvin Beachum","4",NA
"1195","Zane Beadles","4",NA
"1196","Will Beatty","4",NA
"1197","Byron Bell","4",NA
"1198","Nick Bellore","4",NA
"1199","Bene Benwikere","4",NA
"1200","Joe Berger","4",NA
"1201","Demaryius Thomas","5",34.6
"1202","Russell Wilson","5",34.2
"1203","Peyton Manning","5",31
"1204","Branden Oliver","5",30.2
"1205","Arian Foster","5",29.2
"1206","Andre Ellington","5",26.4
"1207","Austin Davis","5",26
"1208","Eddie Lacy","5",25.2
"1209","Pierre Thomas","5",23.2
"1210","Jay Cutler","5",21.8
"1211","Brian Hoyer","5",21.8
"1212","Philip Rivers","5",21.8
"1213","DeSean Jackson","5",21.7
"1214","Tom Brady","5",21
"1215","Kendall Wright","5",21
"1216","Andrew Luck","5",20.7
"1217","Brian Quick","5",20.7
"1218","Matt Forte","5",20.6
"1219","Kirk Cousins","5",19.7
"1220","Golden Tate","5",19.4
"1221","Greg Olsen","5",19.2
"1222","Tony Romo","5",19
"1223","Drew Brees","5",18.7
"1224","Julius Thomas","5",18.6
"1225","Aaron Rodgers","5",18.2
"1226","Antonio Gates","5",18
"1227","Andy Dalton","5",17.8
"1228","Marshawn Lynch","5",17.7
"1229","Stevan Ridley","5",17.3
"1230","DeMarco Murray","5",17.2
"1231","Travis Benjamin","5",16.8
"1232","Jake Locker","5",16.6
"1233","Mike Glennon","5",16
"1234","Rob Gronkowski","5",16
"1235","Justin Hunter","5",15.9
"1236","Justin Forsett","5",15.7
"1237","Alshon Jeffery","5",15.7
"1238","Eli Manning","5",15.7
"1239","Khiry Robinson","5",15.7
"1240","Charlie Whitehurst","5",15.7
"1241","Cam Newton","5",15.1
"1242","Matt Ryan","5",14.6
"1243","Dez Bryant","5",14.5
"1244","Antone Smith","5",14.5
"1245","Tim Wright","5",14.5
"1246","Vincent Jackson","5",14.4
"1247","Kyle Orton","5",14.3
"1248","Andre Williams","5",14.3
"1249","Colin Kaepernick","5",13.8
"1250","Nick Foles","5",13.6
"1251","Jeremy Maclin","5",13.6
"1252","Steven Jackson","5",13.4
"1253","Benny Cunningham","5",13.1
"1254","Terrance Williams","5",13.1
"1255","Mohamed Sanu","5",13
"1256","Kenny Britt","5",12.8
"1257","Fred Jackson","5",12.7
"1258","Ben Roethlisberger","5",12.7
"1259","Jordy Nelson","5",12.6
"1260","Christian Ponder","5",12.4
"1261","Ben Tate","5",12.2
"1262","A.J. Green","5",12.1
"1263","Matthew Stafford","5",12
"1264","Dwayne Allen","5",11.9
"1265","Le'Veon Bell","5",11.8
"1266","Emmanuel Sanders","5",10.9
"1267","Frank Gore","5",10.8
"1268","Shane Vereen","5",10.8
"1269","Julio Jones","5",10.5
"1270","Odell Beckham Jr.","5",10.4
"1271","Bobby Rainey","5",10.2
"1272","Taylor Gabriel","5",9.5
"1273","Louis Murphy","5",9.5
"1274","Randall Cobb","5",9.4
"1275","Riley Cooper","5",9.3
"1276","Rueben Randle","5",9.3
"1277","T.Y. Hilton","5",9
"1278","Andre Roberts","5",8.9
"1279","Alex Smith","5",8.9
"1280","Sammy Watkins","5",8.7
"1281","Jim Dray","5",8.5
"1282","Antonio Brown","5",8.4
"1283","Jamaal Charles","5",8.4
"1284","Chris Ogbonnaya","5",8.4
"1285","Devonta Freeman","5",8.2
"1286","Travaris Cadet","5",7.9
"1287","De'Anthony Thomas","5",7.7
"1288","Reggie Wayne","5",7.7
"1289","Brandon Lloyd","5",7.6
"1290","Jermaine Kearse","5",7.5
"1291","Travis Kelce","5",7.5
"1292","Juwan Thompson","5",7.5
"1293","Joe Flacco","5",7.4
"1294","Doug Martin","5",7.4
"1295","Giovani Bernard","5",7.2
"1296","Anquan Boldin","5",7.2
"1297","Malcom Floyd","5",7.2
"1298","Rashad Jennings","5",7.2
"1299","Logan Thomas","5",7.2
"1300","Davante Adams","5",7.1
"1301","Brandin Cooks","5",7.1
"1302","Owen Daniels","5",7
"1303","Robert Herron","5",6.9
"1304","Jeremy Hill","5",6.9
"1305","Steve Johnson","5",6.9
"1306","LeSean McCoy","5",6.6
"1307","Ahmad Bradshaw","5",6.5
"1308","Ronnie Hillman","5",6.4
"1309","Marques Colston","5",6.3
"1310","DeAndre Hopkins","5",6.3
"1311","Ben Watson","5",6.3
"1312","Chris Gragg","5",6.2
"1313","Michael Palmer","5",6.1
"1314","Jason Witten","5",5.9
"1315","Roy Helu","5",5.8
"1316","Andre Johnson","5",5.8
"1317","Zac Stacy","5",5.8
"1318","Wes Welker","5",5.8
"1319","Larry Fitzgerald","5",5.7
"1320","Adam Thielen","5",5.7
"1321","Nate Washington","5",5.7
"1322","Miles Austin","5",5.4
"1323","Josh Hill","5",5.3
"1324","Matt Asiata","5",5.2
"1325","Darrin Reaves","5",5.1
"1326","Allen Robinson","5",5.1
"1327","Darren Sproles","5",5.1
"1328","Doug Baldwin","5",5
"1329","Blake Bortles","5",5
"1330","Junior Hemingway","5",5
"1331","James Starks","5",4.8
"1332","George Winn","5",4.8
"1333","Trent Richardson","5",4.7
"1334","Drew Stanton","5",4.7
"1335","Delanie Walker","5",4.7
"1336","LeGarrette Blount","5",4.6
"1337","Jerricho Cotchery","5",4.6
"1338","Jerick McKinnon","5",4.6
"1339","Heath Miller","5",4.6
"1340","Ryan Fitzpatrick","5",4.5
"1341","Jared Cook","5",4.4
"1342","Chris Ivory","5",4.4
"1343","Brandon Marshall","5",4.4
"1344","Reggie Bush","5",4.3
"1345","Carlos Hyde","5",4.3
"1346","Jason Avant","5",4.2
"1347","Dwayne Bowe","5",4.2
"1348","Preston Parker","5",4.1
"1349","Eddie Royal","5",4
"1350","Zach Ertz","5",3.9
"1351","Torrey Smith","5",3.8
"1352","Robert Woods","5",3.7
"1353","Jimmy Graham","5",3.6
"1354","Shonn Greene","5",3.6
"1355","Cooper Helfet","5",3.6
"1356","Julian Edelman","5",3.5
"1357","Jordan Matthews","5",3.5
"1358","Marquise Goodwin","5",3.4
"1359","Percy Harvin","5",3.4
"1360","Tavon Austin","5",3.3
"1361","Jordan Cameron","5",3.3
"1362","C.J. Spiller","5",3.3
"1363","Michael Vick","5",3.3
"1364","Anthony Fasano","5",3.2
"1365","Chase Ford","5",3.1
"1366","Greg Jennings","5",3.1
"1367","Terrance West","5",3.1
"1368","Donald Brown","5",3
"1369","Coby Fleener","5",3
"1370","Bernard Pierce","5",3
"1371","Toby Gerhart","5",2.9
"1372","Hakeem Nicks","5",2.9
"1373","Austin Pettis","5",2.9
"1374","Luke Willson","5",2.8
"1375","Chris Hogan","5",2.7
"1376","Storm Johnson","5",2.7
"1377","Alfred Morris","5",2.7
"1378","Bishop Sankey","5",2.7
"1379","Jarius Wright","5",2.7
"1380","Justin Brown","5",2.6
"1381","Mike Brown","5",2.6
"1382","Philly Brown","5",2.6
"1383","Andrew Hawkins","5",2.6
"1384","Allen Hurns","5",2.6
"1385","Lance Moore","5",2.6
"1386","Roddy White","5",2.6
"1387","Keenan Allen","5",2.5
"1388","Jeremy Kerley","5",2.4
"1389","Cole Beasley","5",2.3
"1390","Pierre Garcon","5",2.3
"1391","Jordan Todman","5",2.3
"1392","Victor Cruz","5",2.2
"1393","Clay Harbor","5",2.2
"1394","Lance Kendricks","5",2.2
"1395","Brenton Bersin","5",2.1
"1396","Scott Chandler","5",2.1
"1397","Stedman Bailey","5",2
"1398","Brandon LaFell","5",2
"1399","Dante Rosario","5",2
"1400","Jace Amaro","5",1.9
"1401","John Carlson","5",1.9
"1402","Isaiah Crowell","5",1.9
"1403","Shaun Draughn","5",1.9
"1404","Devin Hester","5",1.9
"1405","Andrew Quarless","5",1.9
"1406","Robert Turbin","5",1.9
"1407","Montee Ball","5",1.8
"1408","Kelvin Benjamin","5",1.8
"1409","Jason Campbell","5",1.8
"1410","Chase Coffman","5",1.8
"1411","Lorenzo Taliaferro","5",1.8
"1412","Trey Watts","5",1.8
"1413","Martellus Bennett","5",1.7
"1414","Jacob Tamme","5",1.7
"1415","Markus Wheaton","5",1.7
"1416","Alfred Blue","5",1.6
"1417","Derek Carrier","5",1.6
"1418","Michael Crabtree","5",1.6
"1419","James Develin","5",1.6
"1420","Ed Dickson","5",1.6
"1421","Aaron Dobson","5",1.6
"1422","MarQueis Gray","5",1.6
"1423","Jeff Janis","5",1.6
"1424","Kenny Stills","5",1.6
"1425","Brent Celek","5",1.5
"1426","Jermaine Gresham","5",1.5
"1427","Jacquizz Rodgers","5",1.5
"1428","Steve Smith","5",1.4
"1429","Jeremy Ross","5",1.3
"1430","Ray Agnew","5",1.2
"1431","Jeff Cumberland","5",1.2
"1432","Rhett Ellison","5",1.2
"1433","Will Johnson","5",1.2
"1434","Brandon Pettigrew","5",1.2
"1435","Greg Salas","5",1.2
"1436","Ace Sanders","5",1.2
"1437","Anthony Sherman","5",1.2
"1438","Will Ta'ufo'ou","5",1.2
"1439","Seyi Ajirotutu","5",1.1
"1440","Joe Banyard","5",1.1
"1441","Logan Paulsen","5",1.1
"1442","Austin Seferian-Jenkins","5",1.1
"1443","Dri Archer","5",1
"1444","Dwayne Harris","5",1
"1445","Jacoby Jones","5",1
"1446","Bruce Miller","5",1
"1447","John Kuhn","5",0.9
"1448","David Nelson","5",0.9
"1449","Kamar Aiken","5",0.8
"1450","Eric Ebron","5",0.8
"1451","Ladarius Green","5",0.8
"1452","Ryan Griffin","5",0.8
"1453","Dexter McCluster","5",0.8
"1454","Cordarrelle Patterson","5",0.8
"1455","Mike Williams","5",0.8
"1456","Danny Amendola","5",0.7
"1457","Michael Floyd","5",0.7
"1458","Corey Fuller","5",0.7
"1459","Peyton Hillis","5",0.7
"1460","Calvin Johnson","5",0.7
"1461","Charles Johnson","5",0.7
"1462","Keshawn Martin","5",0.7
"1463","Leon Washington","5",0.7
"1464","Knile Davis","5",0.6
"1465","Santonio Holmes","5",0.6
"1466","Niles Paul","5",0.6
"1467","Bilal Powell","5",0.6
"1468","Stepfan Taylor","5",0.6
"1469","Adrien Robinson","5",0.5
"1470","Denard Robinson","5",0.5
"1471","Jon Ryan","5",0.5
"1472","John Brown","5",0.4
"1473","Josh Huff","5",0.4
"1474","Joseph Randle","5",0.4
"1475","Brandon Bolden","5",0.3
"1476","Craig Dahl","5",0.3
"1477","Garrett Graham","5",0.3
"1478","Ka'Deem Carey","5",0.2
"1479","Austin Johnson","5",0.2
"1480","Chris Johnson","5",0.2
"1481","Bruce Ellington","5",0.1
"1482","A.J. Jenkins","5",0.1
"1483","Frank Summers","5",0.1
"1484","Jamie Collins","5",NA
"1485","Eric Wood","5",NA
"1486","Geno Smith","5",-0.6
"1487","Matt Flynn","5",-1.2
"1488","Dane Sanzenbacher","5",-1.5
"1489","Quintin Demps","5",-2
"1490","Brandon Tate","5",-2
"1491","Griff Whalen","5",-2
"1492","Isa Abdul-Quddus","5",NA
"1493","Husain Abdullah","5",NA
"1494","Oday Aboushi","5",NA
"1495","Emmanuel Acho","5",NA
"1496","Sam Acho","5",NA
"1497","Mike Adams","5",NA
"1498","Mike Adams","5",NA
"1499","Phillip Adams","5",NA
"1500","Jahleel Addae","5",NA
"1501","Cam Newton","6",34.1
"1502","Joe Flacco","6",32.2
"1503","Tom Brady","6",30.7
"1504","T.Y. Hilton","6",30.3
"1505","Colin Kaepernick","6",29.4
"1506","Matt Forte","6",27.7
"1507","Arian Foster","6",26.1
"1508","Aaron Rodgers","6",26
"1509","Philip Rivers","6",25.8
"1510","Derek Carr","6",25.5
"1511","Andrew Luck","6",24.6
"1512","Andre Holmes","6",24.1
"1513","Giovani Bernard","6",21.7
"1514","Brandon LaFell","6",21.7
"1515","Jay Cutler","6",21.6
"1516","Peyton Manning","6",21.5
"1517","DeMarco Murray","6",20.6
"1518","Ben Tate","6",19.8
"1519","Andy Dalton","6",19.4
"1520","Blake Bortles","6",19.2
"1521","Ryan Tannehill","6",18.7
"1522","Mike Glennon","6",18.6
"1523","Branden Oliver","6",18.4
"1524","Demaryius Thomas","6",18.4
"1525","DeSean Jackson","6",18
"1526","Kyle Orton","6",18
"1527","Mohamed Sanu","6",18
"1528","Carson Palmer","6",17.7
"1529","Torrey Smith","6",17.1
"1530","Julius Thomas","6",17.1
"1531","Steve Smith","6",17
"1532","Jordy Nelson","6",16.7
"1533","Malcom Floyd","6",16.3
"1534","Jordan Cameron","6",16.2
"1535","Kirk Cousins","6",16.2
"1536","Tony Romo","6",15.9
"1537","Larry Fitzgerald","6",15.8
"1538","Robert Woods","6",15.8
"1539","Joique Bell","6",15.7
"1540","Anquan Boldin","6",15.4
"1541","LeSean McCoy","6",15.4
"1542","Clay Harbor","6",15.1
"1543","Geno Smith","6",14.7
"1544","Nick Foles","6",14.4
"1545","Theo Riddick","6",14.1
"1546","Brandon Lloyd","6",14
"1547","Andre Johnson","6",13.9
"1548","Alshon Jeffery","6",13.6
"1549","Jarvis Landry","6",13.5
"1550","Lamar Miller","6",13.3
"1551","Chris Hogan","6",13.2
"1552","Louis Murphy","6",13.2
"1553","Antone Smith","6",12.9
"1554","Jace Amaro","6",12.8
"1555","Brian Hoyer","6",12.7
"1556","Matt Ryan","6",12.7
"1557","Mike Wallace","6",12.7
"1558","Brice Butler","6",12.4
"1559","Greg Olsen","6",12.2
"1560","Ahmad Bradshaw","6",11.9
"1561","Randall Cobb","6",11.9
"1562","Ben Roethlisberger","6",11.8
"1563","Isaiah Crowell","6",11.7
"1564","Antonio Brown","6",11.6
"1565","Ronnie Hillman","6",11.6
"1566","James Jones","6",11.6
"1567","Mike Evans","6",11.5
"1568","Matthew Stafford","6",11.5
"1569","Eric Decker","6",11.4
"1570","Austin Davis","6",11.3
"1571","Brandon Marshall","6",11.3
"1572","Fozzy Whittaker","6",11.2
"1573","Justin Forsett","6",11.1
"1574","Ryan Fitzpatrick","6",11
"1575","Kelvin Benjamin","6",10.9
"1576","Michael Crabtree","6",10.9
"1577","Eddie Royal","6",10.9
"1578","Zach Ertz","6",10.7
