"pick","est_cost","pos"
1,98.9573221472518,"QB"
2,97.9524058622469,"QB"
3,91.3447141799906,"QB"
19,13.6326769666376,"QB"
22,12.5975888153947,"QB"
16,24.1305206786654,"QB"
15,25.629396448732,"QB"
24,8.60161206104341,"QB"
17,20.4353077281268,"QB"
5,64.044969910135,"QB"
11,47.1768827364485,"QB"
14,32.1825843126334,"QB"
18,14.494965291741,"QB"
21,14.9890543609086,"QB"
27,3.3289318593367,"QB"
25,6.94640680053174,"QB"
20,15.2388728835259,"QB"
4,78.551647555567,"QB"
23,9.73905033464819,"QB"
13,37.2225834819016,"QB"
8,58.6367008649715,"QB"
10,46.6142840299426,"QB"
12,43.8054354707737,"QB"
9,47.70470170429,"QB"
28,1.36882082502723,"QB"
6,58.434768744835,"QB"
7,61.2671560197133,"QB"
2,100.53363337269,"RB"
1,107.135938079174,"RB"
11,55.4691700619764,"RB"
27,13.5687257654704,"RB"
19,29.1538761838901,"RB"
28,12.3649777646044,"RB"
47,2.27716894327189,"RB"
33,10.2252994312759,"RB"
22,26.3641099757002,"RB"
50,1.82867424727313,"RB"
13,46.77573159526,"RB"
25,17.950975853236,"RB"
43,2.9441136716747,"RB"
54,1.79906188408687,"RB"
16,33.6607264528048,"RB"
21,27.7625129875062,"RB"
35,8.0374885975003,"RB"
36,7.23341836222915,"RB"
32,11.3878905845262,"RB"
40,4.44997184681976,"RB"
38,5.92769304345041,"RB"
53,1.73076434940338,"RB"
41,3.71713559135142,"RB"
37,6.54928131641512,"RB"
14,41.7213013235358,"RB"
56,2.0708779575154,"RB"
31,11.8707303364807,"RB"
51,1.74917343188752,"RB"
4,88.4215953337979,"RB"
5,82.8941562894674,"RB"
26,15.3275935045562,"RB"
48,2.09740818062558,"RB"
20,28.7761123736642,"RB"
29,12.0748219979335,"RB"
34,8.94655266869521,"RB"
46,2.4353791673484,"RB"
45.5,2.52463420785,"RB"
39,5.3152293990588,"RB"
42,3.13547537607128,"RB"
23,23.9963393370832,"RB"
17,31.1144166749458,"RB"
10,59.9332985082997,"RB"
45,2.61715594108832,"RB"
49,1.94390906854424,"RB"
7,72.8270574994537,"RB"
8,68.2884387651839,"RB"
15,36.9572236952258,"RB"
18,29.8671983997216,"RB"
44,2.81499806154076,"RB"
12,51.0555278196973,"RB"
24,20.9893224021104,"RB"
9,64.052628671042,"RB"
57,2.27538279027931,"RB"
30,12.0859815986289,"RB"
6,77.6377509637674,"RB"
3,94.2824657234642,"RB"
58,2.52627634975556,"RB"
36,9.41846624017532,"WR"
4,67.4823976579847,"WR"
7,52.2270360014623,"WR"
27,18.3672215416734,"WR"
47,3.16906087748151,"WR"
11.5,35.8076506829987,"WR"
19,26.7576144108021,"WR"
1,91.5186206409452,"WR"
6,56.6326916975046,"WR"
17,26.9427127205796,"WR"
64,1.93002006916934,"WR"
13,32.6796099699073,"WR"
22,26.9149865863248,"WR"
34,11.4064464988473,"WR"
33,12.2296967478945,"WR"
45,3.65841724590442,"WR"
50,5.08208951412727,"WR"
8,48.7681597696719,"WR"
2,82.4500373894748,"WR"
29,14.4114780820184,"WR"
44,3.85273144289622,"WR"
30,12.9148815093933,"WR"
10,41.6847625700366,"WR"
15,29.3586785031195,"WR"
5,61.5315345187781,"WR"
40,7.75439946072722,"WR"
43,4.5409088789232,"WR"
52,5.81422826517605,"WR"
37,9.0591013689049,"WR"
60,3.33723710902205,"WR"
12,34.5777593141564,"WR"
38,8.71267455858169,"WR"
49,4.1266559098517,"WR"
51,5.6452415435219,"WR"
42,5.4489499508673,"WR"
14,31.0504681110903,"WR"
55,5.49040247642223,"WR"
39,8.35819011755726,"WR"
9,45.7270430066463,"WR"
21,28.2903455657488,"WR"
23,25.0015799574704,"WR"
63,2.2736551670717,"WR"
31,11.7677783328044,"WR"
3,74.5292802219054,"WR"
25,22.0088559258722,"WR"
18,26.1631699711218,"WR"
69,0.285103989098469,"WR"
41,6.90195159823963,"WR"
46,3.2969202737672,"WR"
16,28.037632068888,"WR"
24,23.5526759093375,"WR"
54,5.80151108041563,"WR"
20,27.5391055122567,"WR"
35,10.3877988870703,"WR"
58,4.11970293424011,"WR"
28,16.3139525844833,"WR"
32,11.9441212582222,"WR"
39.5,8.11768586660169,"WR"
26,20.4859945261345,"WR"
61,2.97707630452768,"WR"
48,3.36889614350834,"WR"
59,3.7032812473212,"WR"
71.5,-0.49654426690589,"WR"
11,37.5089900704629,"WR"
20.5,27.9578054505365,"WR"
56,5.06914436995336,"WR"
65,1.59151877519021,"WR"
53,5.90436859212895,"WR"
3,19.8333333333333,"TE"
2,31.6666666666667,"TE"
1,41.6,"TE"
4,22.5,"TE"
8,8.5,"TE"
14,4.72489586949634,"TE"
7,11.6666666666667,"TE"
16,1.91443523054912,"TE"
6,15.3333333333333,"TE"
17,1.41094931612818,"TE"
9,8.83333333333333,"TE"
20,1.21052628015552,"TE"
10,5.33333333333333,"TE"
19,1.05517094928815,"TE"
15,3.11934542929979,"TE"
11,6,"TE"
5,17,"TE"
13,4.70749094715325,"TE"
12,4.33333333333333,"TE"
18,1.10684160550644,"TE"
