"","year","owner","player","team","pos","value","keeper"
"103","2010","McShane","Hakeem Nicks","NYG"," WR",22,0
"104","2010","McShane","Jason Witten","Dal"," TE",16,0
"105","2010","McShane","Kevin Kolb","Phi"," QB",18,0
"106","2010","McShane","Jahvid Best","Det"," RB",6,0
"107","2010","McShane","Joey Galloway","Was"," WR",1,0
"108","2010","McShane","Jerricho Cotchery","NYJ"," WR",1,0
"109","2010","McShane","Eddie Royal","Den"," WR",1,0
"110","2010","McShane","Robbie Gould","Chi"," K",1,0
"111","2010","McShane","Sam Bradford","StL"," QB",1,0
"112","2010","McShane","Jets Coach","NYJ"," HC",1,0
"113","2010","Thieneman","Wes Welker","NE"," WR",26,0
"114","2010","Thieneman","Sidney Rice","Min"," WR",37,0
"115","2010","Thieneman","DeAngelo Williams","Car"," RB",53,0
"116","2010","Thieneman","Brett Favre","Min"," QB",40,0
"117","2010","Thieneman","Donald Driver","GB"," WR",22,0
"118","2010","Thieneman","Matt Forte","Chi"," RB",22,0
"119","2010","Thieneman","Steve Smith","Car"," WR",27,0
"120","2010","Thieneman","Ricky Williams","Mia"," RB",21,0
"121","2010","Thieneman","Laurence Maroney","Den"," RB",7,0
"122","2010","Thieneman","Antonio Gates","SD"," TE",24,0
"123","2010","Thieneman","Reggie Bush","NO"," RB",11,0
"124","2010","Thieneman","Patriots Coach","NE"," HC",3,0
"125","2010","Thieneman","Steelers D/ST","Pit"," D/",3,0
"126","2010","Thieneman","Brian Brohm","Buf"," QB",1,0
"127","2010","Thieneman","Garrett Hartley","NO"," K",2,0
"128","2010","Thieneman","Sammy Morris","NE"," RB",1,0
"129","2010","Matovina","Steven Jackson","StL"," RB",94,0
"130","2010","Matovina","Randy Moss","Ten"," WR",79,0
"131","2010","Matovina","Frank Gore","SF"," RB",81,0
"132","2010","Matovina","Ben Roethlisberger","Pit"," QB",7,0
"133","2010","Matovina","Anquan Boldin","Bal"," WR",28,0
"134","2010","Matovina","Mario Manningham","NYG"," WR",1,0
"135","2010","Matovina","Kyle Orton","Den"," QB",1,0
"136","2010","Matovina","Darren Sproles","SD"," RB",1,0
"137","2010","Matovina","Heath Miller","Pit"," TE",1,0
"138","2010","Matovina","Matt Cassel","KC"," QB",1,0
"139","2010","Matovina","Chaz Schilens","Oak"," WR",1,0
"140","2010","Matovina","Early Doucet","Ari"," WR",1,0
"141","2010","Matovina","Ahmad Bradshaw","NYG"," RB",1,0
"142","2010","Matovina","Broncos D/ST","Den"," D/",1,0
"143","2010","Matovina","Jaguars Coach","Jac"," HC",1,0
"144","2010","Matovina","Lawrence Tynes","NYG"," K",1,0
"145","2010","Ready","Michael Turner","Atl"," RB",81,0
"146","2010","Ready","Calvin Johnson","Det"," WR",49,0
"147","2010","Ready","Greg Jennings","GB"," WR",28,0
"148","2010","Ready","Felix Jones","Dal"," RB",20,0
"149","2010","Ready","Philip Rivers","SD"," QB",34,0
"150","2010","Ready","LeSean McCoy","Phi"," RB",28,0
"151","2010","Ready","Dwayne Bowe","KC"," WR",20,0
"152","2010","Ready","Thomas Jones","KC"," RB",11,0
"153","2010","Ready","Jermichael Finley","GB"," TE",12,0
"154","2010","Ready","Golden Tate","Sea"," WR",2,0
"155","2010","Ready","Devin Aromashodu","Chi"," WR",1,0
"156","2010","Ready","Vikings D/ST","Min"," D/",2,0
"157","2010","Ready","Zach Miller","Oak"," TE",2,0
"158","2010","Ready","Jay Feely","Ari"," K",1,0
"159","2010","Ready","Mark Sanchez","NYJ"," QB",2,0
"160","2010","Ready","Chargers Coach","SD"," HC",1,0
"161","2010","Skrzyskewski","Rashard Mendenhall","Pit"," RB",52,0
"162","2010","Skrzyskewski","Hines Ward","Pit"," WR",20,0
"163","2010","Skrzyskewski","Chad Ochocinco","Cin"," WR",28,0
"164","2010","Skrzyskewski","Marques Colston","NO"," WR",30,0
"165","2010","Skrzyskewski","Ronnie Brown","Mia"," RB",19,0
"166","2010","Skrzyskewski","Fred Jackson","Buf"," RB",10,0
