"owner","player","pos","team","points"
"Skrzyskewski","Adam Vinatieri","K","Ind",139
"McShane","Steven Hauschka","K","Sea",143
"Harrington","Justin Tucker","K","Bal",138
"Higdon","Cody Parkey","K","Phi",134
"Thieneman","Matt Prater","K","Det",136
"Kane","Matt Bryant","K","Atl",137
"Ready","Dan Bailey","K","Dal",136
"Olson","Brandon McManus","K","Den",130
"Shokunbi","Brian Quick","WR","StL",108.6
"Shokunbi","Matthew Stafford","QB","Det",267.5
"Matovina","Colin Kaepernick","QB","SF",257.3
"Ready","Carson Palmer","QB","Ari",249.3
"McShane","Owen Daniels","TE","Den",85.6
"Hartman","Mason Crosby","K","GB",134
"Thieneman","Teddy Bridgewater","QB","Min",241.8
"Regan","Blair Walsh","K","Min",133
"Olson","Jay Cutler","QB","Chi",242.4
"Matovina","Doug Baldwin","WR","Sea",113.5
"Matovina","Joe Flacco","QB","Bal",240
"Matovina","Rueben Randle","WR","NYG",122.9
"Thieneman","David Cobb*","RB","Ten",26.6
"Regan","Kyle Rudolph","TE","Min",81.7
"Shokunbi","Jameis Winston","QB","TB",229
"Matovina","Cole Beasley","WR","Dal",83.6
"Regan","Alex Smith","QB","KC",240.1
"Olson","Marcus Mariota","QB","Ten",228.9
"Shokunbi","Tyler Eifert","TE","Cin",85.2
"Hartman","Andy Dalton","QB","Cin",232.1
"Matovina","Jonas Gray","RB","FA",0
"Harrington","Derek Carr","QB","Oak",221.5
"Higdon","Coby Fleener","TE","Ind",77.1
"Higdon","Ryan Fitzpatrick","QB","NYJ",147.1
"McShane","Kirk Cousins","QB","Wsh",135.5
"Shokunbi","Nick Foles","QB","StL",213.8
"McShane","Blake Bortles","QB","Jac",215.7
"Ready","Josh McCown","QB","Cle",163.4
"Regan","Brian Hoyer","QB","Hou",132.4
"Shokunbi","Tyrod Taylor","QB","Buf",185.2
"Kane","Geno Smith*","QB","NYJ",89.8
"Hartman","Cardinals D/ST","D/ST","Cardinals",101
"Kane","Patriots D/ST","D/ST","Patriots",126
"Harrington","Rams D/ST","D/ST","Rams",124
"Higdon","Seahawks D/ST","D/ST","Seahawks",187
"Regan","Bills D/ST","D/ST","Bills",137
"Shokunbi","Jets D/ST","D/ST","Jets",111
"McShane","Dolphins D/ST","D/ST","Dolphins",117
"McShane","Vikings D/ST","D/ST","Vikings",97
"Thieneman","Texans D/ST","D/ST","Texans",132
"Matovina","Eagles D/ST","D/ST","Eagles",114
"Ready","Packers D/ST","D/ST","Packers",108
"Skrzyskewski","Broncos D/ST","D/ST","Broncos",113
"Olson","Ravens D/ST","D/ST","Ravens",109
