"owner","player","pos","team","espn_points","cbs_points"
"Harrington","Zach Ertz","TE","PHI",90.5,77.6
"Thieneman","Cody Latimer","WR","DEN",96.9,86.5
"Kane","Delanie Walker","TE","TEN",95.4,81.5
"Harrington","Cam Newton","QB","CAR",272.6,300.6
"Olson","Eddie Royal","WR","CHI",102.9,113.8
"Skrzyskewski","Ryan Tannehill","QB","MIA",278,264.28
"Harrington","Eli Manning","QB","NYG",270.4,255.89
"Ready","Larry Donnell","TE","NYG",88.3,60.7
"Shokunbi","Marvin Jones","WR","CIN",76.8,88
"Ready","Malcom Floyd","WR","SD",103.2,111.7
"Ready","Victor Cruz","WR","NYG",91.4,90.4
"Higdon","Philip Rivers","QB","SD",267.5,240.12
"Hartman","Sam Bradford","QB","PHI",255.7,242.6
"Ready","Michael Crabtree","WR","OAK",98.9,83.7
"Olson","Dwayne Allen","TE","IND",90,93.8
"Shokunbi","Stephen Gostkowski","K","NE",141,146.9
"Skrzyskewski","Adam Vinatieri","K","IND",139,136.8
"McShane","Steven Hauschka","K","SEA",143,129.9
"Harrington","Justin Tucker","K","BAL",138,143.7
"Higdon","Cody Parkey","K","PHI",134,136.7
"Thieneman","Matt Prater","K","DET",136,116.3
"Kane","Matt Bryant","K","ATL",137,129.3
"Ready","Dan Bailey","K","DAL",136,132.1
"Olson","Brandon McManus","K","DEN",130,133.6
"Shokunbi","Brian Quick","WR","STL",108.6,88.3
"Shokunbi","Matthew Stafford","QB","DET",267.5,270.54
"Matovina","Colin Kaepernick","QB","SF",257.3,256.46
"Ready","Carson Palmer","QB","ARI",249.3,240.2
"McShane","Owen Daniels","TE","DEN",85.6,67.8
"Hartman","Mason Crosby","K","GB",134,141.6
"Thieneman","Teddy Bridgewater","QB","MIN",241.8,237.48
"Regan","Blair Walsh","K","MIN",133,125.7
"Olson","Jay Cutler","QB","CHI",242.4,270.84
"Matovina","Doug Baldwin","WR","SEA",113.5,117
"Matovina","Joe Flacco","QB","BAL",240,265.48
"Matovina","Rueben Randle","WR","NYG",122.9,92
"Regan","Kyle Rudolph","TE","MIN",81.7,87.3
"Shokunbi","Jameis Winston","QB","TB",229,222.5
"Matovina","Cole Beasley","WR","DAL",83.6,68
"Regan","Alex Smith","QB","KC",240.1,227.9
"Olson","Marcus Mariota","QB","TEN",228.9,228.88
"Shokunbi","Tyler Eifert","TE","CIN",85.2,63.4
"Hartman","Andy Dalton","QB","CIN",232.1,217.54
"Harrington","Derek Carr","QB","OAK",221.5,206
"Higdon","Coby Fleener","TE","IND",77.1,88.9
"Higdon","Ryan Fitzpatrick","QB","NYJ",147.1,73.94
"McShane","Kirk Cousins","QB","WSH",135.5,162.1
"Shokunbi","Nick Foles","QB","STL",213.8,205.8
"McShane","Blake Bortles","QB","JAC",215.7,217.2
"Ready","Josh McCown","QB","CLE",163.4,197.46
"Regan","Brian Hoyer","QB","HOU",132.4,180.04
"Shokunbi","Tyrod Taylor","QB","BUF",185.2,264.32
"Kane","Geno Smith","QB","NYJ",89.8,137.54
"Hartman","Cardinals D/ST","D/ST","ARI",101,185
"Kane","Patriots D/ST","D/ST","NE",126,149
"Harrington","Rams D/ST","D/ST","STL",124,171
"Higdon","Seahawks D/ST","D/ST","SEA",187,228
"Regan","Bills D/ST","D/ST","BUF",137,192
"Shokunbi","Jets D/ST","D/ST","NYJ",111,158
"McShane","Dolphins D/ST","D/ST","MIA",117,198
"McShane","Vikings D/ST","D/ST","MIN",97,140
"Thieneman","Texans D/ST","D/ST","HOU",132,191
"Matovina","Eagles D/ST","D/ST","PHI",114,163
"Ready","Packers D/ST","D/ST","GB",108,199
"Skrzyskewski","Broncos D/ST","D/ST","DEN",113,141
"Olson","Ravens D/ST","D/ST","BAL",109,185
