2014,1,MB-1800,TE,13,01,2233
2014,1,RG-2200,TE,10,01,2251
2014,1,VD-0100,TE,16.4,01,2269
2014,1,AB-2000,WR,9.9,01,2287
2014,1,AB-3500,WR,17.6,01,2305
2014,1,AG-1500,WR,19.6,01,2323
2014,1,AJ-0430,WR,7.1,01,2341
2014,1,AJ-0900,WR,9.3,01,2359
2014,1,BC-2325,WR,15.5,01,2377
2014,1,BM-0300,WR,11.1,01,2395
2014,1,CJ-1100,WR,28.4,01,2413
2014,1,CP-0750,WR,18.8,01,2431
2014,1,CS-1500,WR,0,01,2449
2014,1,DA-0900,WR,1.6,01,2467
2014,1,DB-3200,WR,0,01,2485
2014,1,DB-5300,WR,5.5,01,2503
2014,1,DH-3950,WR,14.9,01,2521
2014,1,DJ-0200,WR,5.3,01,2539
2014,1,DT-0900,WR,4.8,01,2557
2014,1,ED-0200,WR,7.4,01,2575
2014,1,ES-0200,WR,8.8,01,2593
2014,1,GJ-0400,WR,11.8,01,2611
2014,1,GT-0100,WR,9.7,01,2629
2014,1,HN-0500,WR,9.6,01,2647
2014,1,JE-0100,WR,11.6,01,2665
2014,1,JH-6400,WR,6.3,01,2683
2014,1,JJ-4700,WR,9.6,01,2701
2014,1,JM-0200,WR,15.7,01,2719
2014,1,JN-0900,WR,8.3,01,2737
2014,1,KA-0650,WR,3.7,01,2755
2014,1,KW-2550,WR,10.6,01,2773
2014,1,LF-0200,WR,2.2,01,2791
2014,1,MC-2400,WR,9,01,2809
2014,1,MC-2900,WR,2.5,01,2827
2014,1,ME-0600,WR,3.7,01,2845
2014,1,MF-0950,WR,12.1,01,2863
2014,1,ML-0650,WR,6.2,01,2881
2014,1,MW-0500,WR,12.1,01,2899
2014,1,MW-1250,WR,9.7,01,2917
2014,1,PG-0100,WR,7.7,01,2935
2014,1,PH-0400,WR,10,01,2953
2014,1,RC-1500,WR,11.8,01,2971
2014,1,RC-2300,WR,2.9,01,2989
2014,1,RR-0130,WR,0.1,01,3007
2014,1,RW-1100,WR,9.8,01,3025
2014,1,RW-2200,WR,13.2,01,3043
2014,1,SS-2100,WR,17.8,01,3061
2014,1,SW-0450,WR,3.1,01,3079
2014,1,TA-1050,WR,3.9,01,3097
2014,1,TH-1850,WR,4.1,01,3115
2014,1,TS-2300,WR,5,01,3133
2014,1,TW-2270,WR,11,01,3151
2014,1,VC-0300,WR,2.4,01,3169
2014,1,VJ-0100,WR,3.6,01,3187
2014,1,WW-0200,WR,0,01,3205
