"player","pos","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","pred_cost"
"DeMarco Murray","RB",52.1,5.04,8,8,19,7,52,13,13.2,27.4,11.7,149.3,69,71,32,69,NA,38.8806607668795
"Demaryius Thomas","WR",39.5,4.04,4,2,6,22,NA,11.4,8.2,26.1,58,NA,NA,NA,NA,NA,NA,37.2839850404216
"Derek Carr","QB",48.8,5.01,25,NA,NA,NA,NA,161.9,NA,NA,NA,NA,17,NA,NA,NA,NA,27.4023206995987
"Derrick Henry","RB",105.7,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4464943309486
"DeSean Jackson","WR",97.2,9.01,30,23,23,21,9,71.2,57,58.5,55.2,27.5,13,26,26,37,37,18.4141789048898
"DeVante Parker","WR",87.4,8.03,47,NA,NA,NA,NA,116.2,NA,NA,NA,NA,2,NA,NA,NA,NA,16.5448643649062
"Devin Funchess","WR",135.4,12.03,38,NA,NA,NA,NA,93.7,NA,NA,NA,NA,13,NA,NA,NA,NA,12.9008551008582
"Devontae Booker","RB",141.1,12.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.78606755068022
"Devonta Freeman","RB",22,2.1,42,42,NA,NA,NA,99.7,103.2,NA,NA,NA,1,NA,NA,NA,NA,55.4198318200862
"Dez Bryant","WR",15.9,2.04,1,3,2,13,14,8.4,11.7,14.4,39.5,39.5,84,78,58,36,46,80.6219053666542
"Dion Lewis","RB",56.5,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4822641316744
"Donte Moncrief","WR",67.1,6.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1006493698322
"Dorial Green-Beckham","WR",122.8,11.03,59,NA,NA,NA,NA,150.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.291257007536
"Doug Baldwin","WR",58.9,5.11,NA,57,NA,NA,NA,NA,157.9,NA,NA,NA,1,NA,NA,NA,NA,24.4410366800776
"Doug Martin","RB",30,3.06,18,10,2,15,NA,37,18.9,2.9,25.4,NA,11,73,NA,10,NA,43.7913264165282
"Drew Brees","QB",15,2.03,4,2,1,3,5,50.4,13.9,19.1,7.3,27,85,106,101,102,76,77.3099368056689
"Duke Johnson","RB",81.4,7.09,44,NA,NA,NA,NA,109.4,NA,NA,NA,NA,8,NA,NA,NA,NA,18.4136759801423
"Dwayne Allen","TE",152.1,13.08,14,NA,NA,NA,NA,136.9,NA,NA,NA,NA,1,NA,NA,NA,NA,10.3841338891289
"Eddie Lacy","RB",25.4,3.01,2,5,20,NA,NA,2.9,9.4,29.4,NA,NA,NA,NA,30,NA,NA,55.6305292861982
"Eli Manning","QB",33.8,3.1,13,NA,14,8,13,103.4,NA,108.5,49.9,97.9,60,18,56,49,42,49.9498318371842
"Emmanuel Sanders","WR",75.7,7.04,16,16,46,NA,57,35.9,43,116.3,NA,146.6,36,17,4,NA,NA,23.8162167484071
"Eric Decker","WR",70.8,6.11,41,37,24,18,NA,103.5,89.7,62.9,48,NA,6,10,18,21,NA,22.9424786312456
"Eric Ebron","TE",160.5,14.04,NA,17,NA,NA,NA,NA,150.4,NA,NA,NA,NA,NA,NA,NA,NA,8.5303996502745
"Ezekiel Elliott","RB",12.7,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1057688437024
"Frank Gore","RB",74.9,7.03,13,22,18,20,11,26.6,45.6,24.4,41.3,18.8,41,44,61,29,62,27.4494448881305
"Gary Barnidge","TE",104.5,9.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7837226576413
"Giovani Bernard","RB",85.9,8.02,35,9,24,NA,NA,82.4,17.6,41.8,NA,NA,13,66,17,NA,NA,18.7779082714296
"Golden Tate","WR",55,5.07,20,31,36,NA,NA,45.2,75.4,91.6,NA,NA,29,11,1,NA,NA,30.5174393312199
"Greg Olsen","TE",58.4,5.1,3,10,10,12,17,50.9,90.6,100.9,107.7,144.6,18,4,5,NA,5,33.3736611903632
"Isaiah Crowell","RB",115.4,10.07,37,NA,NA,NA,NA,85.6,NA,NA,NA,NA,5,NA,NA,NA,NA,12.9788596272128
"Jamaal Charles","RB",20,2.08,4,3,3,10,5,4.1,3.5,4.7,17.7,5.1,NA,NA,NA,44,NA,67.5932148672799
"Jameis Winston","QB",62.4,6.02,23,NA,NA,NA,NA,157.7,NA,NA,NA,NA,25,NA,NA,NA,NA,26.2161334994018
"James Starks","RB",144.8,13.01,61,NA,NA,NA,36,158.2,NA,NA,NA,90.4,NA,1,NA,1,10,11.1729747362351
"James White","RB",139.6,12.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83291631322101
"Jared Cook","TE",165.3,14.09,NA,NA,9,14,18,NA,NA,95.5,134,150.8,NA,NA,5,2,NA,9.81589285148969
"Jarvis Landry","WR",48,4.12,21,NA,NA,NA,NA,48.3,NA,NA,NA,NA,23,NA,NA,NA,NA,30.3517514358483
"Jason Witten","TE",143.1,12.11,8,6,4,8,3,89.7,68.6,58.6,79,48.1,16,27,21,8,15,19.1914551346113
"Javorius Allen","RB",154.1,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.24229988465594
"Jay Ajayi","RB",75,7.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9493269977461
"Jay Cutler","QB",113.7,10.06,21,9,16,12,17,149.4,73.3,125.8,80.8,126,37,39,22,30,11,21.2556131250902
"Jeremy Hill","RB",64.2,6.04,7,41,NA,NA,NA,9.5,97.7,NA,NA,NA,NA,1,NA,NA,NA,24.1126843442186
