playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
100013,null,Texans,DST,HOU,DST,HOU,-19.9973,116.809,null,166,132,8,null,null,1.3941,111.3367,20.6633,1.8,124.5584,106.3,1.7094,24
2532853,null,Ladarius Green,TE,PIT,TE,PIT,-20.4216,90.3941,null,127,133,16,null,null,3.7942,109.255,23.745,3.0625,108.7309,71.8764,7.1999,3
2532968,null,Blair Walsh,K,MIN,K,MIN,-20.5228,134.5712,null,284,134,6,null,null,0.4656,156.6167,-22.6167,1.2675,138.3559,129.2744,3.3969,null
2532790,null,Travis Benjamin,WR,SD,WR,SD,-20.5236,102.6389,null,112,135,46,null,null,1.4458,122.85,12.15,2.4075,124.7694,71.9496,4.8756,22
2541556,null,Brandon McManus,K,DEN,K,DEN,-20.6221,134.4719,null,351,136,7,null,null,2.0596,153.82,-17.82,1.3625,138.6293,124.0097,5.3797,null
100011,null,Packers,DST,GB,DST,GB,-20.9204,115.8859,null,235,137,9,null,null,1.4641,157.22,-20.22,1.45,121.8151,105.2,2.1952,23
310,null,Matt Ryan,QB,ATL,QB,ATL,-21.2264,245.5505,null,126,138,22,null,null,7.7112,136.5433,1.4567,3.1075,250.0061,237.021,3.8578,25
2495259,null,Dan Bailey,K,DAL,K,DAL,-21.3548,133.7393,null,274,139,8,null,null,3.0673,143.4717,-4.4717,1.2675,139.9598,117.869,3.5238,21
2552470,null,Sammie Coates,WR,PIT,WR,PIT,-21.6763,101.4862,null,138,140,47,null,null,0.624,135.2683,4.7317,2.6175,131.6498,77.7966,7.9775,3
100015,null,Jaguars,DST,JAC,DST,JAC,-21.8624,114.9439,null,290,141,10,null,null,1.1716,164.1033,-23.1033,0.96,122.4747,105.2,3.9412,18
2537931,null,Josh Gordon,WR,CLE,WR,CLE,-22.2626,100.8999,null,96,142,48,null,null,1.793,110.5483,31.4517,5.5,117.3739,77.3254,5.1006,9
2539291,null,Markus Wheaton,WR,PIT,WR,PIT,-22.3381,100.8244,null,114,143,49,null,null,3.6757,123.7817,19.2183,2.295,114.8577,77.2,5.0048,33
100025,null,Eagles,DST,PHI,DST,PHI,-22.9067,113.8996,null,265,144,11,null,null,0.6125,184.8633,-40.8633,0.7933,119.0828,106.2,3.5197,19
100032,null,Redskins,DST,WAS,DST,WAS,-23.1614,113.6449,null,315,145,12,null,null,1.0849,158.565,-13.565,0.6733,127.0903,92.4,6.5931,7
497236,null,Jimmy Graham,TE,SEA,TE,SEA,-23.7048,87.1109,null,131,146,17,null,null,1.3472,115.2017,30.7983,3.4025,101.2495,60.7605,5.9352,8
100018,null,Raiders,DST,OAK,DST,OAK,-23.8768,112.9295,null,233,147,13,null,null,0.8528,161.4467,-14.4467,1.4367,117.1093,104.2,3.3453,20
2550636,null,Cairo Santos,K,KC,K,KC,-24.0086,131.0854,null,342,148,9,null,null,1.4889,165.0417,-17.0417,0.79,134.5951,124.3,3.1214,23
100021,null,Patriots,DST,NE,DST,NE,-24.6158,112.1905,null,193,149,14,null,null,0.3733,141.8,7.2,1.1233,122.1343,98.5,3.0456,21
2495139,null,Charles Clay,TE,BUF,TE,BUF,-24.7269,86.0888,null,164,150,18,null,null,4.1191,156.5825,-6.5825,1.215,96.4249,77.3,5.3294,13
2550325,null,Chandler Catanzaro,K,ARI,K,ARI,-24.8355,130.2585,null,280,151,10,null,null,1.8921,149.7183,1.2817,1.1925,134.5736,112.6,2.882,24
100006,null,Bengals,DST,CIN,DST,CIN,-24.8435,111.9628,null,207,152,15,null,null,0.5111,136.5133,15.4867,1.23,116.7249,104.2,0.9202,25
2495979,null,DeAngelo Williams,RB,PIT,RB,PIT,-25.0448,109.4021,null,93,153,39,null,null,8.5363,92.1367,60.8633,3.57,126.7807,91.51,3.3724,21
100030,null,Seahawks,DST,SEA,DST,SEA,-25.1347,111.6716,null,141,154,16,null,null,2.5177,91.02,62.98,4.5967,122.4969,82.6,2.781,22
2543466,null,Eric Ebron,TE,DET,TE,DET,-25.377,85.4387,null,137,155,19,null,null,7.4304,145.6533,9.3467,2.17,93.0751,70.4,5.7006,11
100014,null,Colts,DST,IND,DST,IND,-25.5744,111.2319,null,308,156,17,null,null,4.3408,160.07,-4.07,0.51,126.8034,96,7.1397,3
382,null,Joe Flacco,QB,BAL,QB,BAL,-25.5755,241.2013,null,158,157,23,null,null,7.6866,162.094,-5.094,1.565,251.359,228.06,5.01,21
2504595,null,Steve Smith,WR,BAL,WR,BAL,-25.7732,97.3893,null,125,158,50,null,null,1.4745,132.07,25.93,1.7675,105.28,76.9,4.4549,28
2507232,null,Mason Crosby,K,GB,K,GB,-26.1595,128.9346,null,262,159,11,null,null,2.3372,157.9367,1.0633,1.2,147.4798,-2.894,6.2704,6
2555214,null,Laquon Treadwell,WR,MIN,WR,MIN,-26.2543,96.9081,null,123,160,51,null,null,2.2007,118.76,41.24,4.1675,113.5382,67.3472,6.5756,14
2504797,null,Matt Bryant,K,ATL,K,ATL,-27.2958,127.7983,null,353,161,12,null,null,2.7661,151.3033,9.6967,0.9825,137.5982,111.8668,5.3536,11
2530660,null,Kamar Aiken,WR,BAL,WR,BAL,-28.2411,94.9213,null,121,162,52,null,null,1.0572,137.514,24.486,1.58,114.8111,65.169,6.2877,15
2539205,null,Terrance Williams,WR,DAL,WR,DAL,-28.669,94.4935,null,153,163,53,null,null,2.0733,145.686,17.314,1.2175,99.7889,85.1563,3.8998,47
2506677,null,Matt Prater,K,DET,K,DET,-29.6977,125.3964,null,318,164,13,null,null,1.2196,143.6833,20.3167,1.165,133.8369,117.8306,3.8435,19
100031,null,Buccaneers,DST,TB,DST,TB,-29.7305,107.0758,null,355,165,18,null,null,0.5999,160.085,4.915,0.5,116.2036,84.6,5.0241,17
2346,null,Pierre Garcon,WR,WAS,WR,WAS,-29.9276,93.2349,null,161,166,54,null,null,2.5223,154.6975,11.3025,1.355,112.6454,69.4,5.0091,21
100024,null,Jets,DST,NYJ,DST,NYJ,-30.0998,106.7065,null,214,167,19,null,null,1.3444,158.465,8.535,1.1,118.2378,88.9,5.347,14
2506264,null,Robbie Gould,K,CHI,K,CHI,-30.4261,124.668,null,352,168,14,null,null,1.7214,171.5125,-3.5125,0.655,129.9597,113.6,5.2447,12
100010,null,Lions,DST,DET,DST,DET,-30.5611,106.2452,null,303,169,20,null,null,2.6679,160.02,8.98,0.86,118.1427,86.6,6.2966,9
2495328,null,Bilal Powell,RB,NYJ,RB,NYJ,-30.995,103.4519,null,122,170,40,null,null,5.4928,132.095,37.905,1.95,114.2896,90.9,3.1637,23
2507401,null,Dan Carpenter,K,BUF,K,BUF,-31.4085,123.6855,null,null,171,15,null,null,1.5721,160.22,10.78,0.4933,129.0204,118.7147,3.7589,20
2533040,null,Mohamed Sanu,WR,ATL,WR,ATL,-31.5571,91.6054,null,140,172,55,null,null,1.822,148.8633,23.1367,1.645,105.4928,71.09,4.4668,30
2495824,null,Jay Cutler,QB,CHI,QB,CHI,-32.2996,234.4772,null,152,173,24,null,null,4.1504,161.822,11.178,1.82,243.4552,223.52,4.9801,23
2552397,null,Clive Walford,TE,OAK,TE,OAK,-32.315,78.5007,null,173,174,20,null,null,3.9014,160.65,13.35,1.4575,84.9739,70.5022,4.3823,17
100023,null,Giants,DST,NYG,DST,NYG,-32.3273,104.479,null,244,175,21,null,null,3.0087,170,5,0.5,118.8654,84.3,6.4067,8
2506386,null,Mike Nugent,K,CIN,K,CIN,-32.8865,122.2076,null,null,176,16,null,null,0.7715,179.7725,-3.7725,0.66,125.9424,111.9836,2.8122,25
2507225,null,Nick Folk,K,NYJ,K,NYJ,-33.0749,122.0192,null,null,177,17,null,null,1.3371,147.9,29.1,0.6175,130.2704,104.8,5.4216,10
2495438,null,Kyle Rudolph,TE,MIN,TE,MIN,-33.2999,77.5158,null,186,178,21,null,null,6.0672,157.3575,20.6425,1.4125,84.2012,71.4,5.0397,20
2532903,null,Rishard Matthews,WR,TEN,WR,TEN,-33.3427,89.8198,null,149,179,56,null,null,0.1406,158.33,20.67,1.4375,104.786,56.7484,6.276,16
2552424,null,Phillip Dorsett,WR,IND,WR,IND,-33.4154,89.7471,null,134,180,57,null,null,0.1396,140.785,39.215,1.8775,103.5182,69.8,4.6888,40
2556370,null,Michael Thomas,WR,NO,WR,NO,-33.5513,89.6112,null,133,181,58,null,null,0.4528,126.8333,54.1667,3.645,113.2261,63.1515,5.7942,20
71217,null,Kenny Britt,WR,LA,WR,LA,-33.5587,89.6038,null,215,182,59,null,null,1.0056,188.0267,-6.0267,0.6667,97.2248,72.4,4.3594,32
100028,null,Chargers,DST,SD,DST,SD,-34.1306,102.6757,null,248,183,22,null,null,4.3273,160.265,22.735,0.4267,112.3882,87.2,6.6019,6
2504211,null,Tom Brady,QB,NE,QB,NE,-34.2246,232.5523,null,89,184,25,null,null,12.5601,69.5867,114.4133,10.23,243.7228,218.33,3.9652,15
2506194,null,Nick Novak,K,HOU,K,HOU,-34.241,120.8531,null,354,185,18,null,null,0.4932,151.4667,33.5333,0.5525,130.3445,112.7401,4.6015,17
2552458,null,Devin Funchess,WR,CAR,WR,CAR,-34.4494,88.713,null,129,186,60,null,null,2.813,137.1917,48.8083,2.35,103.7764,58.8459,6.3617,24
2539227,null,Dustin Hopkins,K,WAS,K,WAS,-34.5829,120.5112,null,null,187,19,null,null,0.9172,159.89,27.11,0.6667,128.1187,114.1,4.7737,15
2507763,null,Mike Wallace,WR,BAL,WR,BAL,-34.6791,88.4834,null,156,188,61,null,null,5.2457,157.024,30.976,1.405,113.6566,69.43,5.4161,7
2553833,null,Josh Lambo,K,SD,K,SD,-34.8856,120.2085,null,null,189,20,null,null,1.2804,152.5067,36.4933,0.775,128.7124,109.5765,4.0859,18
2503471,null,Adam Vinatieri,K,IND,K,IND,-36.1146,118.9795,null,276,190,21,null,null,2.2321,159.5483,30.4517,1.3375,138.8498,-2.2168,6.1197,8
2540020,null,Theo Riddick,RB,DET,RB,DET,-36.1671,98.2798,null,130,191,41,null,null,1.591,133.282,57.718,2.1367,112.8858,82.867,3.4495,24
2505459,null,Josh Brown,K,NYG,K,NYG,-36.2175,118.8766,null,282,192,22,null,null,4.5369,167.7783,24.2217,0.9925,136.3246,-1.8997,6.0947,9
100003,null,Bills,DST,BUF,DST,BUF,-36.5415,100.2648,null,210,193,23,null,null,3.9744,150.6,42.4,1.3267,109.5584,76.5,6.2545,10
2556075,null,Derrick Henry,RB,TEN,RB,TEN,-36.8084,97.6385,null,111,194,42,null,null,3.4466,101.49,92.51,3.4575,111.4134,65.7243,4.0415,16
2533436,null,Brock Osweiler,QB,HOU,QB,HOU,-38.6755,228.1013,null,190,195,26,null,null,26.8501,146.9975,48.0025,2.055,249.8962,190.32,4.8769,11
