"player_team","position","ppr_points","ppr_adp","standard_points","standard_adp"
"Lions - DET","DST",8.17270769230769,"234.43",8.17270769230769,"160.02"
"Dan Carpenter - BUF","K",9.51426923076923,"null",9.51426923076923,"160.22"
"Pierre Garcon - WAS","WR",11.5228230769231,"163.2",7.17191538461538,"154.6975"
"Giants - NYG","DST",8.03684615384615,"213.73",8.03684615384615,"170"
"Mike Nugent - CIN","K",9.40058461538461,"null",9.40058461538461,"179.7725"
"Tom Brady - NE","QB",19.7809461538462,"74.54",17.8886384615385,"69.5867"
"Nick Folk - NYJ","K",9.38609230769231,"null",9.38609230769231,"147.9"
"Kamar Aiken - BAL","WR",11.4311461538462,"116.205",7.30163846153846,"137.514"
"Joe Flacco - BAL","QB",19.7539461538462,"163.535",18.5539461538462,"162.094"
"Laquon Treadwell - MIN","WR",11.3826384615385,"110.275",7.45446923076923,"118.76"
"Chargers - SD","DST",7.89813076923077,"null",7.89813076923077,"160.265"
"Nick Novak - HOU","K",9.29639230769231,"null",9.29639230769231,"151.4667"
"Charles Clay - BUF","TE",10.8475923076923,"174.88",6.62221538461539,"156.5825"
"Dustin Hopkins - WAS","K",9.27009230769231,"null",9.27009230769231,"159.89"
"Ladarius Green - PIT","TE",10.8372153846154,"118.04",6.95339230769231,"109.255"
"Josh Lambo - SD","K",9.24680769230769,"null",9.24680769230769,"152.5067"
"Jimmy Graham - SEA","TE",10.7586769230769,"121.19",6.70083846153846,"115.2017"
"Adam Vinatieri - IND","K",9.15226923076923,"182.015",9.15226923076923,"159.5483"
"Josh Brown - NYG","K",9.14435384615385,"187.965",9.14435384615385,"167.7783"
"Bills - BUF","DST",7.71267692307692,"199.83",7.71267692307692,"150.6"
"Eric Ebron - DET","TE",10.6582461538462,"141.555",6.57220769230769,"145.6533"
"Mohamed Sanu - ATL","WR",11.1055153846154,"137.985",7.04656923076923,"148.8633"
"Isaiah Crowell - CLE","RB",10.6256846153846,"124.645",9.01816923076923,"122.7933"
"Chris Ivory - JAC","RB",10.6175230769231,"98.44",8.82430769230769,"86.6467"
"Jay Cutler - CHI","QB",19.2367076923077,"169.41",18.0367076923077,"161.822"
"Titans - TEN","DST",7.41783846153846,"null",7.41783846153846,"160.29"
"Sebastian Janikowski - OAK","K",8.81677692307692,"190.78",8.81677692307692,"151.708"
"Bears - CHI","DST",7.39606923076923,"211.25",7.39606923076923,"160.08"
"Saints - NO","DST",7.38243846153846,"null",6.15166923076923,"160.175"
"Jason Myers - JAC","K",8.77394615384615,"null",8.77394615384615,"160.275"
"Phillip Dorsett - IND","WR",10.8028461538462,"133.85",6.90362307692308,"140.785"
"Dolphins - MIA","DST",7.3146,"224.93",7.3146,"159.805"
"Ravens - BAL","DST",7.26596153846154,"213.48",7.26596153846154,"145.365"
"Phil Dawson - SF","K",8.65258461538462,"null",8.65258461538462,"160.135"
"Falcons - ATL","DST",7.22597692307692,"null",7.22597692307692,"160.025"
"DeAngelo Williams - PIT","RB",10.3109538461538,"80.325",8.41554615384615,"92.1367"
"Michael Thomas - NO","WR",10.6572230769231,"111.885",6.89316923076923,"126.8333"
"Rishard Matthews - TEN","WR",10.6372461538462,"157.11",6.90921538461538,"158.33"
"Terrance Williams - DAL","WR",10.5210307692308,"185.25",7.26873076923077,"145.686"
"LeGarrette Blount - NE","RB",9.97850769230769,"144.38",8.96894615384615,"122.34"
"Travis Coons - CLE","K",8.25166923076923,"null",8.25166923076923,"160.38"
"Browns - CLE","DST",6.82654615384615,"null",6.82654615384615,"160.37"
"Kenny Britt - LA","WR",10.2416384615385,"237.88",6.8926,"188.0267"
"Kyle Rudolph - MIN","TE",9.63097692307692,"199.86",5.96275384615385,"157.3575"
"Devin Funchess - CAR","WR",10.0988538461538,"134.235",6.82407692307692,"137.1917"
"Brock Osweiler - HOU","QB",18.4231769230769,"161.78",17.5462538461538,"146.9975"
"Cowboys - DAL","DST",6.61099230769231,"null",6.61099230769231,"159.47"
"Roberto Aguayo - TB","K",7.99509230769231,"176.555",7.99509230769231,"158.326"
"Cody Parkey - PHI","K",7.99056153846154,"null",7.99056153846154,"160.355"
"Mike Wallace - BAL","WR",10.0293384615385,"171.65",6.80641538461539,"157.024"
"Robert Woods - BUF","WR",10.0057307692308,"213.3",6.40897692307692,"193.3733"
"Clive Walford - OAK","TE",9.46993076923077,"163.08",6.03851538461538,"160.65"
"49ers - SF","DST",6.46579230769231,"null",6.46579230769231,"160.115"
"Anquan Boldin - DET","WR",9.84386923076923,"185.42",6.12153076923077,"157.7"
"Ryan Succop - TEN","K",7.58097692307692,"null",7.58097692307692,"160.41"
"Andrew Franks - MIA","K",7.56670769230769,"null",7.56670769230769,"160.42"
"Kai Forbath - NO","K",7.43371538461538,"null",7.43371538461538,"160.43"
"Cole Beasley - DAL","WR",9.48946923076923,"248",5.81333076923077,"191.88"
"Tyler Boyd - CIN","WR",9.48875384615385,"152.43",6.07958461538461,"153.636"
"Greg Zuerlein - LA","K",7.39905384615385,"null",7.39905384615385,"160.3"
"Will Tye - NYG","TE",8.9602,"189.54",5.4634,"177.54"
"James Starks - GB","RB",9.00526923076923,"160.825",6.82909230769231,"139.75"
"Dorial Green-Beckham - TEN","WR",9.36600769230769,"125.38",6.39682307692308,"124.3733"
"Jermaine Kearse - SEA","WR",9.34137692307692,"221.1",6.18409230769231,"165.3425"
"Jordan Cameron - MIA","TE",8.80539230769231,"188.21",5.47803846153846,"149.795"
"Kendall Wright - TEN","WR",9.28156923076923,"190.57",5.90100769230769,"157.4825"
"Nelson Agholor - PHI","WR",9.27406153846154,"157.46",5.92013846153846,"167.5067"
"Will Fuller - HOU","WR",9.13010769230769,"153.77",5.95198461538462,"143.1"
"Benjamin Watson - BAL","TE",8.60527692307692,"202.53",5.30183846153846,"163.8075"
"Jaelen Strong - HOU","WR",9.09630769230769,"177.37",6.05221538461538,"173.4433"
"Jay Ajayi - MIA","RB",8.655,"99.18",7.03993076923077,"87.5433"
"Jared Cook - GB","TE",8.49026923076923,"170.95",5.51406153846154,"160.916"
"C.J. Prosise - SEA","RB",8.59608461538462,"129.47",5.96076153846154,"123.9267"
"Chris Thompson - WAS","RB",8.57571538461539,"199.65",5.31600769230769,"172.585"
"Derrick Henry - TEN","RB",8.54086153846154,"104.455",7.51065384615385,"101.49"
"Jerick McKinnon - MIN","RB",8.53394615384615,"139.935",5.99602307692308,"141.066"
"Teddy Bridgewater - MIN","QB",17.2217769230769,"154.12",16.2987,"130.9375"
"Jamison Crowder - WAS","WR",8.76959230769231,"198.72",5.13463076923077,"201.3"
"Jacob Tamme - ATL","TE",8.25696153846154,"240.96",4.75560769230769,"160.4"
"Chris Hogan - NE","WR",8.62404615384615,"157.84",5.27998461538462,"153.575"
"Ted Ginn - CAR","WR",8.55403076923077,"195.07",6.04605384615385,"151.1725"
"Vance McDonald - SF","TE",7.92287692307692,"203.95",4.89783076923077,"160.425"
"Tevin Coleman - ATL","RB",8.04110769230769,"108.595",6.27620769230769,"122.4883"
"Shaun Draughn - SF","RB",7.91296153846154,"207.01",5.2347,"185.04"
"Austin Seferian-Jenkins - TB","TE",7.7515,"167.18",5.14322307692308,"150.26"
"Caleb Sturgis - PHI","K",6.15480769230769,"null",6.15480769230769,"160.37"
"Bruce Ellington - SF","WR",8.20823076923077,"160.06",5.16177692307692,"167.0025"
"Brandon LaFell - CIN","WR",8.11364615384615,"224.66",5.30796153846154,"186.96"
"Josh Doctson - WAS","WR",8.09441538461538,"145.105",5.2237,"129.538"
