"name","pos","overall","pick","year","player","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall"
"Devin Funchess","WR",135.4,12.03,2016,"Devin Funchess",38,NA,NA,NA,NA,93.7,NA,NA,NA,NA
"Devontae Booker","RB",141.1,12.09,2016,"Devontae Booker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devonta Freeman","RB",22,2.1,2016,"Devonta Freeman",42,42,NA,NA,NA,99.7,103.2,NA,NA,NA
"Dez Bryant","WR",15.9,2.04,2016,"Dez Bryant",1,3,2,13,14,8.4,11.7,14.4,39.5,39.5
"Dion Lewis","RB",56.5,5.08,2016,"Dion Lewis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Donte Moncrief","WR",67.1,6.07,2016,"Donte Moncrief",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorial Green-Beckham","WR",122.8,11.03,2016,"Dorial Green-Beckham",59,NA,NA,NA,NA,150.1,NA,NA,NA,NA
"Doug Baldwin","WR",58.9,5.11,2016,"Doug Baldwin",NA,57,NA,NA,NA,NA,157.9,NA,NA,NA
"Doug Martin","RB",30,3.06,2016,"Doug Martin",18,10,2,15,NA,37,18.9,2.9,25.4,NA
"Drew Brees","QB",15,2.03,2016,"Drew Brees",4,2,1,3,5,50.4,13.9,19.1,7.3,27
"Duke Johnson","RB",81.4,7.09,2016,"Duke Johnson",44,NA,NA,NA,NA,109.4,NA,NA,NA,NA
"Dwayne Allen","TE",152.1,13.08,2016,"Dwayne Allen",14,NA,NA,NA,NA,136.9,NA,NA,NA,NA
"Eddie Lacy","RB",25.4,3.01,2016,"Eddie Lacy",2,5,20,NA,NA,2.9,9.4,29.4,NA,NA
"Eli Manning","QB",33.8,3.1,2016,"Eli Manning",13,NA,14,8,13,103.4,NA,108.5,49.9,97.9
"Emmanuel Sanders","WR",75.7,7.04,2016,"Emmanuel Sanders",16,16,46,NA,57,35.9,43,116.3,NA,146.6
"Eric Decker","WR",70.8,6.11,2016,"Eric Decker",41,37,24,18,NA,103.5,89.7,62.9,48,NA
"Eric Ebron","TE",160.5,14.04,2016,"Eric Ebron",NA,17,NA,NA,NA,NA,150.4,NA,NA,NA
"Ezekiel Elliott","RB",12.7,2.01,2016,"Ezekiel Elliott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Frank Gore","RB",74.9,7.03,2016,"Frank Gore",13,22,18,20,11,26.6,45.6,24.4,41.3,18.8
"Gary Barnidge","TE",104.5,9.09,2016,"Gary Barnidge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Giovani Bernard","RB",85.9,8.02,2016,"Giovani Bernard",35,9,24,NA,NA,82.4,17.6,41.8,NA,NA
"Golden Tate","WR",55,5.07,2016,"Golden Tate",20,31,36,NA,NA,45.2,75.4,91.6,NA,NA
"Greg Olsen","TE",58.4,5.1,2016,"Greg Olsen",3,10,10,12,17,50.9,90.6,100.9,107.7,144.6
"Isaiah Crowell","RB",115.4,10.07,2016,"Isaiah Crowell",37,NA,NA,NA,NA,85.6,NA,NA,NA,NA
"Jamaal Charles","RB",20,2.08,2016,"Jamaal Charles",4,3,3,10,5,4.1,3.5,4.7,17.7,5.1
"Jameis Winston","QB",62.4,6.02,2016,"Jameis Winston",23,NA,NA,NA,NA,157.7,NA,NA,NA,NA
"James Starks","RB",144.8,13.01,2016,"James Starks",61,NA,NA,NA,36,158.2,NA,NA,NA,90.4
"James White","RB",139.6,12.08,2016,"James White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jared Cook","TE",165.3,14.09,2016,"Jared Cook",NA,NA,9,14,18,NA,NA,95.5,134,150.8
"Jarvis Landry","WR",48,4.12,2016,"Jarvis Landry",21,NA,NA,NA,NA,48.3,NA,NA,NA,NA
"Jason Witten","TE",143.1,12.11,2016,"Jason Witten",8,6,4,8,3,89.7,68.6,58.6,79,48.1
"Javorius Allen","RB",154.1,13.1,2016,"Javorius Allen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jay Ajayi","RB",75,7.03,2016,"Jay Ajayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jay Cutler","QB",113.7,10.06,2016,"Jay Cutler",21,9,16,12,17,149.4,73.3,125.8,80.8,126
"Jeremy Hill","RB",64.2,6.04,2016,"Jeremy Hill",7,41,NA,NA,NA,9.5,97.7,NA,NA,NA
"Jeremy Langford","RB",54.2,5.06,2016,"Jeremy Langford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy Maclin","WR",60.6,6.01,2016,"Jeremy Maclin",18,27,NA,24,25,41.3,65.3,NA,62.7,62.4
"Jerick McKinnon","RB",156.2,13.12,2016,"Jerick McKinnon",57,NA,NA,NA,NA,152.6,NA,NA,NA,NA
"Jimmy Graham","TE",119,10.11,2016,"Jimmy Graham",2,1,1,1,6,32,8.2,22.6,13.3,65
"Joe Flacco","QB",108.2,9.12,2016,"Joe Flacco",18,NA,20,17,16,142.7,NA,139.2,115.1,112.1
"John Brown","WR",86.3,8.02,2016,"John Brown",32,NA,NA,NA,NA,74,NA,NA,NA,NA
"Jonathan Stewart","RB",66.1,6.06,2016,"Jonathan Stewart",24,52,NA,38,37,48,142.2,NA,95.1,93.5
