"year","owner","player","team","pos","value","keeper","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall"
2015,"Kane","Charles Sims","TB","RB",1,0,NA,NA,NA,NA,NA,150.8,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Matovina","Chaz Schilens","OAK","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Olson","Chester Taylor","CHI","RB",1,0,NA,NA,NA,NA,NA,128.4,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Harrington","Chiefs D/ST","KC","D/ST",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Matovina","Chiefs D/ST","CHIEFS ","D/ST",1,0,NA,1,NA,NA,NA,142.9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Shokunbi","Chris Cooley","WAS","TE",10,0,NA,NA,NA,NA,NA,95.9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Kane","Chris Cooley","WSH","TE",1,0,10,NA,NA,NA,NA,153.6,20,9,NA,NA,NA,NA,95.9,NA,NA,NA,NA
2013,"Olson","Chris Givens","STL","WR",3,0,NA,NA,NA,NA,NA,92.5,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Kane","Chris Ivory","NYJ","RB",16,0,NA,NA,NA,NA,NA,68.4,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Regan","Chris Ivory","NYJ","RB",1,0,16,NA,NA,NA,NA,139.2,51,31,NA,NA,NA,NA,68.4,NA,NA,NA,NA
2015,"Higdon","Chris Ivory","NYJ","RB",16,0,1,16,NA,NA,NA,42,21,51,31,NA,NA,NA,139.2,68.4,NA,NA,NA
2010,"Harrington","Chris Johnson","TEN","RB",114,0,NA,NA,NA,NA,NA,1.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Harrington","Chris Johnson","TEN","RB",95,0,114,NA,NA,NA,NA,3.9,4,1,NA,NA,NA,NA,1.4,NA,NA,NA,NA
2012,"Matovina","Chris Johnson","TEN","RB",74,0,95,114,NA,NA,NA,8.9,5,4,1,NA,NA,NA,3.9,1.4,NA,NA,NA
2013,"Regan","Chris Johnson","NYJ","RB",60,0,74,95,114,NA,NA,15.5,13,5,4,1,NA,NA,8.9,3.9,1.4,NA,NA
2014,"Harrington","Chris Johnson","NYJ","RB",7,0,60,74,95,114,NA,56.7,26,13,5,4,1,NA,15.5,8.9,3.9,1.4,NA
2012,"Higdon","Christian Ponder","MIN","QB",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Higdon","Christian Ponder","MIN","QB",7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Matovina","Christine Michael","SEA","RB",1,0,NA,NA,NA,NA,NA,128.4,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Kane","C.J. Anderson","DEN","RB",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Skrzyskewski","C.J. Spiller","BUF","RB",17,0,NA,NA,NA,NA,NA,57.7,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Thieneman","C.J. Spiller","BUF","RB",1,0,17,NA,NA,NA,NA,118.3,43,25,NA,NA,NA,NA,57.7,NA,NA,NA,NA
2012,"Harrington","C.J. Spiller","BUF","RB",10,0,1,17,NA,NA,NA,98.6,40,43,25,NA,NA,NA,118.3,57.7,NA,NA,NA
2013,"Matovina","C.J. Spiller","BUF","RB",96,0,10,1,17,NA,NA,5.3,5,40,43,25,NA,NA,98.6,118.3,57.7,NA,NA
2014,"Kane","C.J. Spiller","BUF","RB",35,0,96,10,1,17,NA,39.7,20,5,40,43,25,NA,5.3,98.6,118.3,57.7,NA
2015,"Harrington","C.J. Spiller","NO","RB",6,0,35,96,10,1,17,64.1,29,20,5,40,43,25,39.7,5.3,98.6,118.3,57.7
2010,"Regan","Clinton Portis","WAS","RB",1,0,NA,NA,NA,NA,NA,87.2,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Olson","Coby Fleener","IND","TE",1,0,NA,NA,NA,NA,NA,148.9,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Higdon","Coby Fleener","IND","TE",1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Thieneman","Cody Latimer","DEN","WR",1,0,NA,NA,NA,NA,NA,153.1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Higdon","Cody Parkey","PHI","K",1,0,NA,NA,NA,NA,NA,157.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Matovina","Cole Beasley","DAL","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Matovina","Colin Kaepernick","SF","QB",31,0,NA,NA,NA,NA,NA,146.1,19,12,7,NA,NA,NA,96.5,60.9,NA,NA,NA
2011,"Shokunbi","Colt McCoy","CLE","QB",10,0,NA,NA,NA,NA,NA,139.3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Thieneman","Colts D/ST","IND","D/ST",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Kane","Cordarrelle Patterson","MIN","WR",30,0,NA,NA,NA,NA,NA,34.5,12,49,NA,NA,NA,NA,126.7,NA,NA,NA,NA
2010,"Harrington","Cowboys D/ST","DAL","D/ST",2,0,NA,NA,NA,NA,NA,147.9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Shokunbi","Cowboys D/ST","DAL","D/ST",1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Kane","Dallas Clark","IND","TE",22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Regan","Dallas Clark","IND","TE",30,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Matovina","Dan Bailey","DAL","K",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Skrzyskewski","Dan Bailey","DAL","K",1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Ready","Dan Bailey","DAL","K",1,0,1,NA,2,NA,NA,160.4,5,NA,13,NA,NA,NA,NA,170.7,NA,NA,NA
2011,"Olson","Daniel Thomas","MIA","RB",20,0,NA,NA,NA,NA,NA,84.5,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Olson","Daniel Thomas","MIA","RB",4,0,20,NA,NA,NA,NA,137.5,46,34,NA,NA,NA,NA,84.5,NA,NA,NA,NA
2011,"Kane","Danny Amendola","STL","WR",2,0,NA,NA,NA,NA,NA,100.9,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Thieneman","Danny Amendola","NE","WR",18,0,NA,2,NA,NA,NA,40.6,13,39,38,NA,NA,NA,105.1,100.9,NA,NA,NA
2014,"Hartman","Danny Amendola","NE","WR",4,0,18,NA,2,NA,NA,123.7,49,13,39,38,NA,NA,40.6,105.1,100.9,NA,NA
2011,"Ready","Danny Woodhead","NE","RB",3,0,NA,NA,NA,NA,NA,132.9,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Regan","Danny Woodhead","SD","RB",2,0,NA,NA,3,NA,NA,94.2,39,42,NA,45.5,NA,NA,111.7,NA,132.9,NA,NA
2015,"Thieneman","Danny Woodhead","SD","RB",1,0,2,NA,NA,3,NA,92.8,39,39,42,NA,45.5,NA,94.2,111.7,NA,132.9,NA
2010,"Olson","Darren McFadden","OAK","RB",8,0,NA,NA,NA,NA,NA,108.9,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Olson","Darren McFadden","OAK","RB",48,0,NA,8,NA,NA,NA,6.4,4,9,42,NA,NA,NA,13.8,108.9,NA,NA,NA
2013,"Thieneman","Darren McFadden","OAK","RB",35,0,48,NA,8,NA,NA,39.8,23,4,9,42,NA,NA,6.4,13.8,108.9,NA,NA
2014,"Thieneman","Darren McFadden","OAK","RB",1,0,35,48,NA,8,NA,118.2,46,23,4,9,42,NA,39.8,6.4,13.8,108.9,NA
2015,"Hartman","Darren McFadden","DAL","RB",5,0,1,35,48,NA,8,80.3,34,46,23,4,9,42,118.2,39.8,6.4,13.8,108.9
2010,"Matovina","Darren Sproles","SD","RB",1,0,NA,NA,NA,NA,NA,110.1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"McShane","Darren Sproles","NO","RB",26,0,NA,1,NA,NA,NA,30.3,17,44,43,NA,NA,NA,123.2,110.1,NA,NA,NA
2013,"McShane","Darren Sproles","PHI","RB",31,0,26,NA,1,NA,NA,33.5,22,17,44,43,NA,NA,30.3,123.2,110.1,NA,NA
2014,"Olson","Darren Sproles","PHI","RB",1,0,31,26,NA,1,NA,80.7,33,22,17,44,43,NA,33.5,30.3,123.2,110.1,NA
2012,"Higdon","Darrius Heyward-Bey","OAK","WR",3,0,NA,NA,NA,NA,NA,95.4,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Matovina","Darrius Heyward-Bey","PIT","WR",1,0,3,NA,NA,NA,NA,133.2,51,36,NA,NA,NA,NA,95.4,NA,NA,NA,NA
2012,"Hartman","Darvin Adams","FA","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Shokunbi","Daryl Richardson","STL","RB",20,0,NA,NA,NA,NA,NA,45.2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Thieneman","Davante Adams","GB","WR",42,0,NA,NA,NA,NA,NA,34.8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Skrzyskewski","David Akers","PHI","K",2,0,NA,NA,NA,NA,NA,166.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Olson","David Akers","SF","K",1,0,NA,2,NA,NA,NA,129.1,1,NA,7,NA,NA,NA,NA,166.8,NA,NA,NA
2013,"Thieneman","David Akers","DET","K",1,0,1,NA,2,NA,NA,167.5,9,1,NA,7,NA,NA,129.1,NA,166.8,NA,NA
2015,"Thieneman","David Cobb","TEN","RB",1,0,NA,NA,NA,NA,NA,112.4,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Regan","David Garrard","JAC","QB",2,0,NA,NA,NA,NA,NA,159.1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Ready","David Garrard","FA","QB",3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Thieneman","David Johnson","ARI","RB",1,0,NA,NA,NA,NA,NA,119.8,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Higdon","David Wilson","NYG","RB",6,0,NA,NA,NA,NA,NA,73.9,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Harrington","Davone Bess","MIA","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Harrington","DeAndre Hopkins","HOU","WR",2,0,NA,NA,NA,NA,NA,105.9,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Shokunbi","DeAndre Hopkins","HOU","WR",5,0,2,NA,NA,NA,NA,117.6,47,42,NA,NA,NA,NA,105.9,NA,NA,NA,NA
2015,"Ready","DeAndre Hopkins","HOU","WR",42,0,5,2,NA,NA,NA,31.6,14,47,42,NA,NA,NA,117.6,105.9,NA,NA,NA
2010,"Thieneman","DeAngelo Williams","CAR","RB",53,0,NA,NA,NA,NA,NA,20.4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Kane","DeAngelo Williams","CAR","RB",40,0,53,NA,NA,NA,NA,49.7,23,10,NA,NA,NA,NA,20.4,NA,NA,NA,NA
2012,"Thieneman","DeAngelo Williams","CAR","RB",8,0,40,53,NA,NA,NA,76.2,31,23,10,NA,NA,NA,49.7,20.4,NA,NA,NA
2013,"Harrington","DeAngelo Williams","CAR","RB",13,0,8,40,53,NA,NA,60.2,29,31,23,10,NA,NA,76.2,49.7,20.4,NA,NA
2014,"Harrington","DeAngelo Williams","CAR","RB",2,0,13,8,40,53,NA,113.7,45,29,31,23,10,NA,60.2,76.2,49.7,20.4,NA
2015,"Harrington","DeAngelo Williams","PIT","RB",8,0,2,13,8,40,53,125,49,45,29,31,23,10,113.7,60.2,76.2,49.7,20.4
2011,"Harrington","Deion Branch","NE","WR",1,0,NA,NA,NA,NA,NA,144,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Thieneman","Delanie Walker","TEN","TE",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Kane","Delanie Walker","TEN","TE",3,0,1,NA,NA,NA,NA,106,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Matovina","DeMarco Murray","DAL","RB",69,0,NA,NA,NA,NA,NA,11.7,7,52,NA,NA,NA,NA,149.3,NA,NA,NA,NA
2013,"McShane","DeMarco Murray","DAL","RB",32,0,69,NA,NA,NA,NA,27.4,19,7,52,NA,NA,NA,11.7,149.3,NA,NA,NA
2014,"Kane","DeMarco Murray","DAL","RB",71,0,32,69,NA,NA,NA,13.2,8,19,7,52,NA,NA,27.4,11.7,149.3,NA,NA
2015,"Harrington","DeMarco Murray","PHI","RB",69,0,71,32,69,NA,NA,13,8,8,19,7,52,NA,13.2,27.4,11.7,149.3,NA
2012,"McShane","Denarius Moore","OAK","WR",14,0,NA,NA,NA,NA,NA,111.2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Kane","Denarius Moore","OAK","WR",4,0,14,NA,NA,NA,NA,144.5,55,42,NA,NA,NA,NA,111.2,NA,NA,NA,NA
2014,"McShane","Dennis Pitta","BAL","TE",4,0,NA,NA,NA,NA,NA,87.9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Harrington","Derek Carr","OAK","QB",17,0,NA,NA,NA,NA,NA,161.9,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Kane","Derek Dimke","NO","K",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Harrington","Derrick Mason","BAL","WR",7,0,NA,NA,NA,NA,NA,100.2,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Regan","DeSean Jackson","PHI","WR",35,0,NA,NA,NA,NA,NA,24.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Hartman","DeSean Jackson","PHI","WR",37,0,35,NA,NA,NA,NA,27.5,9,10,NA,NA,NA,NA,24.2,NA,NA,NA,NA
2012,"Harrington","DeSean Jackson","PHI","WR",37,0,37,35,NA,NA,NA,55.2,21,9,10,NA,NA,NA,27.5,24.2,NA,NA,NA
2013,"Hartman","DeSean Jackson","WSH","WR",26,0,37,37,35,NA,NA,58.5,23,21,9,10,NA,NA,55.2,27.5,24.2,NA,NA
2014,"Thieneman","DeSean Jackson","WSH","WR",26,0,26,37,37,35,NA,57,23,23,21,9,10,NA,58.5,55.2,27.5,24.2,NA
2015,"Shokunbi","DeSean Jackson","WSH","WR",13,0,26,26,37,37,35,71.2,30,23,23,21,9,10,57,58.5,55.2,27.5,24.2
2015,"Hartman","DeVante Parker","MIA","WR",2,0,NA,NA,NA,NA,NA,116.2,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Hartman","Devery Henderson","NO","WR",1,0,NA,NA,NA,NA,NA,154.8,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Ready","Devin Aromashodu","CHI","WR",1,0,NA,NA,NA,NA,NA,96.9,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Thieneman","Devin Funchess","CAR","WR",13,0,NA,NA,NA,NA,NA,93.7,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Ready","Devonta Freeman","ATL","RB",1,0,NA,NA,NA,NA,NA,99.7,42,42,NA,NA,NA,NA,103.2,NA,NA,NA,NA
2010,"Shokunbi","Dez Bryant","DAL","WR",13,0,NA,NA,NA,NA,NA,80.1,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"McShane","Dez Bryant","DAL","WR",46,0,13,NA,NA,NA,NA,39.5,14,31,NA,NA,NA,NA,80.1,NA,NA,NA,NA
2012,"Regan","Dez Bryant","DAL","WR",36,0,46,13,NA,NA,NA,39.5,13,14,31,NA,NA,NA,39.5,80.1,NA,NA,NA
2013,"Thieneman","Dez Bryant","DAL","WR",58,0,36,46,13,NA,NA,14.4,2,13,14,31,NA,NA,39.5,39.5,80.1,NA,NA
2014,"Harrington","Dez Bryant","DAL","WR",78,0,58,36,46,13,NA,11.7,3,2,13,14,31,NA,14.4,39.5,39.5,80.1,NA
2015,"McShane","Dez Bryant","DAL","WR",84,0,78,58,36,46,13,8.4,1,3,2,13,14,31,11.7,14.4,39.5,39.5,80.1
2015,"McShane","Dolphins D/ST","DOLPHINS ","D/ST",2,0,NA,NA,NA,NA,NA,116.2,4,NA,NA,NA,NA,15,NA,NA,NA,NA,165
2010,"Higdon","Donald Brown","IND","RB",5,0,NA,NA,NA,NA,NA,100.2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Olson","Donald Brown","IND","RB",7,0,NA,5,NA,NA,NA,67.9,27,NA,40,NA,NA,NA,NA,100.2,NA,NA,NA
2014,"Kane","Donald Brown","SD","RB",1,0,NA,7,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Thieneman","Donald Driver","GB","WR",22,0,NA,NA,NA,NA,NA,67.3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Harrington","Donald Driver","GB","WR",1,0,22,NA,NA,NA,NA,123.4,49,25,NA,NA,NA,NA,67.3,NA,NA,NA,NA
2010,"Harrington","Donovan McNabb","WAS","QB",7,0,NA,NA,NA,NA,NA,110.1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Thieneman","Donovan McNabb","FA","QB",13,0,7,NA,NA,NA,NA,137.4,20,15,NA,NA,NA,NA,110.1,NA,NA,NA,NA
2015,"Matovina","Doug Baldwin","SEA","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Skrzyskewski","Doug Martin","TB","RB",10,0,NA,NA,NA,NA,NA,25.4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Matovina","Doug Martin","TB","RB",73,0,NA,10,NA,NA,NA,18.9,10,2,15,NA,NA,NA,2.9,25.4,NA,NA,NA
2015,"Higdon","Doug Martin","TB","RB",11,0,73,NA,10,NA,NA,37,18,10,2,15,NA,NA,18.9,2.9,25.4,NA,NA
2010,"Kane","Drew Brees","NO","QB",78,0,NA,NA,NA,NA,NA,12.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Kane","Drew Brees","NO","QB",76,0,78,NA,NA,NA,NA,27,5,2,NA,NA,NA,NA,12.1,NA,NA,NA,NA
2012,"Higdon","Drew Brees","NO","QB",102,0,76,78,NA,NA,NA,7.3,3,5,2,NA,NA,NA,27,12.1,NA,NA,NA
2013,"Olson","Drew Brees","NO","QB",101,0,102,76,78,NA,NA,19.1,1,3,5,2,NA,NA,7.3,27,12.1,NA,NA
2014,"Olson","Drew Brees","NO","QB",106,0,101,102,76,78,NA,13.9,2,1,3,5,2,NA,19.1,7.3,27,12.1,NA
2015,"Kane","Drew Brees","NO","QB",85,0,106,101,102,76,78,50.4,4,2,1,3,5,2,13.9,19.1,7.3,27,12.1
2015,"McShane","Duke Johnson","CLE","RB",8,0,NA,NA,NA,NA,NA,109.4,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Shokunbi","Dustin Keller","NYJ","TE",1,0,NA,NA,NA,NA,NA,152.7,19,14,NA,NA,NA,NA,144.8,NA,NA,NA,NA
2015,"Olson","Dwayne Allen","IND","TE",1,0,NA,NA,NA,NA,NA,136.9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Ready","Dwayne Bowe","KC","WR",20,0,NA,NA,NA,NA,NA,47.4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Higdon","Dwayne Bowe","KC","WR",41,0,20,NA,NA,NA,NA,34.3,12,18,NA,NA,NA,NA,47.4,NA,NA,NA,NA
2012,"Shokunbi","Dwayne Bowe","KC","WR",26,0,41,20,NA,NA,NA,63.7,25,12,18,NA,NA,NA,34.3,47.4,NA,NA,NA
2013,"Olson","Dwayne Bowe","KC","WR",27,0,26,41,20,NA,NA,42.1,14,25,12,18,NA,NA,63.7,34.3,47.4,NA,NA
2014,"Ready","Dwayne Bowe","KC","WR",2,0,27,26,41,20,NA,109.4,43,14,25,12,18,NA,42.1,63.7,34.3,47.4,NA
2010,"Olson","Eagles D/ST","PHI","D/ST",2,0,NA,NA,NA,NA,NA,133.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"McShane","Eagles D/ST","PHI","D/ST",3,0,2,NA,NA,NA,NA,94.2,3,7,NA,NA,NA,NA,133.9,NA,NA,NA,NA
2012,"Ready","Eagles D/ST","PHI","D/ST",3,0,3,2,NA,NA,NA,121.8,3,3,7,NA,NA,NA,94.2,133.9,NA,NA,NA
2015,"Matovina","Eagles D/ST","EAGLES ","D/ST",1,0,NA,NA,3,3,2,133.5,6,NA,NA,3,3,7,NA,NA,121.8,94.2,133.9
2010,"Matovina","Early Doucet","ARI","WR",1,0,NA,NA,NA,NA,NA,159,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Harrington","Eddie Lacy","GB","RB",30,0,NA,NA,NA,NA,NA,29.4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"McShane","Eddie Royal","DEN","WR",1,0,NA,NA,NA,NA,NA,102.8,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Harrington","Eddie Royal","DEN","WR",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Olson","Eddie Royal","CHI","WR",1,0,NA,NA,NA,1,1,96.2,39,NA,NA,NA,NA,41,NA,NA,NA,NA,102.8
2013,"Thieneman","EJ Manuel","BUF","QB",1,0,NA,NA,NA,NA,NA,157.6,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Shokunbi","EJ Manuel","BUF","QB",5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Higdon","Eli Manning","NYG","QB",17,0,NA,NA,NA,NA,NA,93.8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Shokunbi","Eli Manning","NYG","QB",42,0,17,NA,NA,NA,NA,97.9,13,13,NA,NA,NA,NA,93.8,NA,NA,NA,NA
2012,"Olson","Eli Manning","NYG","QB",49,0,42,17,NA,NA,NA,49.9,8,13,13,NA,NA,NA,97.9,93.8,NA,NA,NA
2013,"Shokunbi","Eli Manning","NYG","QB",56,0,49,42,17,NA,NA,108.5,14,8,13,13,NA,NA,49.9,97.9,93.8,NA,NA
2014,"Matovina","Eli Manning","NYG","QB",18,0,56,49,42,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Harrington","Eli Manning","NYG","QB",60,0,18,56,49,42,17,103.4,13,NA,14,8,13,13,NA,108.5,49.9,97.9,93.8
2013,"Olson","Emmanuel Sanders","DEN","WR",4,0,NA,NA,NA,NA,NA,116.3,46,NA,57,NA,NA,NA,NA,146.6,NA,NA,NA
2014,"Shokunbi","Emmanuel Sanders","DEN","WR",17,0,4,NA,NA,NA,NA,43,16,46,NA,57,NA,NA,116.3,NA,146.6,NA,NA
2015,"Higdon","Emmanuel Sanders","DEN","WR",36,0,17,4,NA,NA,NA,35.9,16,16,46,NA,57,NA,43,116.3,NA,146.6,NA
2012,"Hartman","Eric Decker","DEN","WR",21,0,NA,NA,NA,NA,NA,48,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Shokunbi","Eric Decker","NYJ","WR",18,0,21,NA,NA,NA,NA,62.9,24,18,NA,NA,NA,NA,48,NA,NA,NA,NA
2014,"Higdon","Eric Decker","NYJ","WR",10,0,18,21,NA,NA,NA,89.7,37,24,18,NA,NA,NA,62.9,48,NA,NA,NA
2015,"Matovina","Eric Decker","NYJ","WR",6,0,10,18,21,NA,NA,103.5,41,37,24,18,NA,NA,89.7,62.9,48,NA,NA
2011,"Olson","Falcons D/ST","ATL","D/ST",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Kane","Falcons D/ST","ATL","D/ST",2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Ready","Felix Jones","DAL","RB",20,0,NA,NA,NA,NA,NA,65.2,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Matovina","Felix Jones","DAL","RB",24,0,20,NA,NA,NA,NA,30,16,26,NA,NA,NA,NA,65.2,NA,NA,NA,NA
2012,"Matovina","Felix Jones","DAL","RB",2,0,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Matovina","Frank Gore","SF","RB",81,0,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"McShane","Frank Gore","SF","RB",62,0,81,NA,NA,NA,NA,18.8,11,5,NA,NA,NA,NA,6,NA,NA,NA,NA
2012,"Harrington","Frank Gore","SF","RB",29,0,62,81,NA,NA,NA,41.3,20,11,5,NA,NA,NA,18.8,6,NA,NA,NA
2013,"Regan","Frank Gore","SF","RB",61,0,29,62,81,NA,NA,24.4,18,20,11,5,NA,NA,41.3,18.8,6,NA,NA
2014,"Harrington","Frank Gore","SF","RB",44,0,61,29,62,81,NA,45.6,22,18,20,11,5,NA,24.4,41.3,18.8,6,NA
2015,"Regan","Frank Gore","IND","RB",41,0,44,61,29,62,81,26.6,13,22,18,20,11,5,45.6,24.4,41.3,18.8,6
2012,"Shokunbi","Fred Davis","WSH","TE",22,0,NA,NA,NA,NA,NA,87.9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Skrzyskewski","Fred Jackson","BUF","RB",10,0,NA,NA,NA,NA,NA,107,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Higdon","Fred Jackson","BUF","RB",20,0,10,NA,NA,NA,NA,73.2,29,41,NA,NA,NA,NA,107,NA,NA,NA,NA
2012,"Skrzyskewski","Fred Jackson","BUF","RB",45,0,20,10,NA,NA,NA,20.1,12,29,41,NA,NA,NA,73.2,107,NA,NA,NA
