"year","owner","player","team","pos","value","keeper","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall"
2014,"Skrzyskewski","Andre Ellington","ARI","RB",37,0,NA,NA,NA,NA,NA,24.9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Skrzyskewski","Andre Ellington","ARI","RB",15,0,37,NA,NA,NA,NA,51.1,25,13,NA,NA,NA,NA,24.9,NA,NA,NA,NA
2011,"Kane","Andre Johnson","HOU","WR",71,0,NA,NA,NA,NA,NA,7.1,1,1,NA,NA,NA,NA,5.6,NA,NA,NA,NA
2012,"Matovina","Andre Johnson","HOU","WR",47,0,71,NA,NA,NA,NA,27.2,6,1,1,NA,NA,NA,7.1,5.6,NA,NA,NA
2014,"McShane","Andre Johnson","HOU","WR",46,0,NA,47,71,NA,NA,44.6,19,8,6,1,1,NA,31.3,27.2,7.1,5.6,NA
2015,"Matovina","Andre Johnson","IND","WR",20,0,46,NA,47,71,NA,38.8,17,19,8,6,1,1,44.6,31.3,27.2,7.1,5.6
2011,"Olson","Andre Roberts","ARI","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Regan","Andre Roberts","WSH","WR",1,0,NA,1,NA,NA,NA,163.5,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Skrzyskewski","Andre Williams","NYG","RB",2,0,NA,NA,NA,NA,NA,108.2,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Ready","Andre Williams","NYG","RB",1,0,2,NA,NA,NA,NA,147.7,54,43,NA,NA,NA,NA,108.2,NA,NA,NA,NA
2012,"Thieneman","Andrew Luck","IND","QB",31,0,NA,NA,NA,NA,NA,108,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Olson","Andy Dalton","CIN","QB",11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Hartman","Andy Dalton","CIN","QB",20,0,11,NA,NA,NA,NA,119.6,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"McShane","Andy Dalton","CIN","QB",28,0,20,11,NA,NA,NA,121.3,16,15,NA,NA,NA,NA,119.6,NA,NA,NA,NA
2015,"Hartman","Andy Dalton","CIN","QB",8,0,28,20,11,NA,NA,160.7,24,16,15,NA,NA,NA,121.3,119.6,NA,NA,NA
2010,"Matovina","Anquan Boldin","BAL","WR",28,0,NA,NA,NA,NA,NA,31.1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Regan","Anquan Boldin","BAL","WR",28,0,28,NA,NA,NA,NA,56,22,13,NA,NA,NA,NA,31.1,NA,NA,NA,NA
2012,"Harrington","Anquan Boldin","BAL","WR",18,0,28,28,NA,NA,NA,89.8,34,22,13,NA,NA,NA,56,31.1,NA,NA,NA
2013,"Shokunbi","Anquan Boldin","SF","WR",18,0,18,28,28,NA,NA,83.4,33,34,22,13,NA,NA,89.8,56,31.1,NA,NA
2014,"Thieneman","Anquan Boldin","SF","WR",4,0,18,18,28,28,NA,112.7,45,33,34,22,13,NA,83.4,89.8,56,31.1,NA
2015,"Kane","Anquan Boldin","SF","WR",6,0,4,18,18,28,28,110.4,45,45,33,34,22,13,112.7,83.4,89.8,56,31.1
2012,"Hartman","Anthony Allen","BAL","RB",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Kane","Anthony Gonzalez","IND","WR",1,0,NA,NA,NA,NA,NA,113.8,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Olson","Antonio Brown","PIT","WR",3,0,NA,NA,NA,NA,NA,126.3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Kane","Antonio Brown","PIT","WR",30,0,NA,3,NA,NA,NA,56.8,22,15,50,NA,NA,NA,43.3,126.3,NA,NA,NA
2014,"Skrzyskewski","Antonio Brown","PIT","WR",57,0,30,NA,3,NA,NA,22.3,8,22,15,50,NA,NA,56.8,43.3,126.3,NA,NA
2015,"Skrzyskewski","Antonio Brown","PIT","WR",77,0,57,30,NA,3,NA,8.5,2,8,22,15,50,NA,22.3,56.8,43.3,126.3,NA
2010,"Olson","Antonio Bryant","FA","WR",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Thieneman","Antonio Gates","SD","TE",24,0,NA,NA,NA,NA,NA,42,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Matovina","Antonio Gates","SD","TE",41,0,24,NA,NA,NA,NA,37.8,1,2,NA,NA,NA,NA,42,NA,NA,NA,NA
2012,"Hartman","Antonio Gates","SD","TE",21,0,41,24,NA,NA,NA,45.6,4,1,2,NA,NA,NA,37.8,42,NA,NA,NA
2013,"Matovina","Antonio Gates","SD","TE",9,0,21,41,24,NA,NA,88.9,8,4,1,2,NA,NA,45.6,37.8,42,NA,NA
2010,"Shokunbi","Arian Foster","HOU","RB",2,0,NA,NA,NA,NA,NA,36.3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Olson","Arian Foster","HOU","RB",23,0,NA,NA,NA,NA,2,39,19,11,4,1,3,16,22.1,5.1,2,2.9,36.3
2011,"Kane","Austin Collie","IND","WR",17,0,NA,NA,NA,NA,NA,78.3,29,52,NA,NA,NA,NA,125.3,NA,NA,NA,NA
2010,"Olson","Beanie Wells","ARI","RB",40,0,NA,NA,NA,NA,NA,48.2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Skrzyskewski","Beanie Wells","ARI","RB",25,0,40,NA,NA,NA,NA,55.9,25,21,NA,NA,NA,NA,48.2,NA,NA,NA,NA
2012,"Higdon","Beanie Wells","ARI","RB",18,0,25,40,NA,NA,NA,87.2,35,25,21,NA,NA,NA,55.9,48.2,NA,NA,NA
2011,"Skrzyskewski","Bears D/ST","CHI","D/ST",16,0,NA,NA,NA,NA,NA,114.8,7,10.5,NA,NA,NA,NA,157.3,NA,NA,NA,NA
2012,"Matovina","Bears D/ST","CHI","D/ST",2,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Shokunbi","Bears D/ST","BEARS ","D/ST",6,0,2,16,NA,NA,NA,105.4,3,NA,7,10.5,NA,NA,NA,114.8,157.3,NA,NA
2010,"Kane","Bengals D/ST","CIN","D/ST",1,0,NA,NA,NA,NA,NA,163.6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Olson","Bengals D/ST","CIN","D/ST",1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Regan","Bengals D/ST","BENGALS ","D/ST",4,0,1,NA,1,NA,NA,115.2,5,NA,NA,14,NA,NA,NA,NA,163.6,NA,NA
2014,"Shokunbi","Bengals D/ST","BENGALS ","D/ST",3,0,4,1,NA,1,NA,130.5,6,5,NA,NA,14,NA,115.2,NA,NA,163.6,NA
2011,"Hartman","BenJarvus Green-Ellis","NE","RB",23,0,NA,NA,NA,NA,NA,68.6,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Hartman","BenJarvus Green-Ellis","CIN","RB",22,0,23,NA,NA,NA,NA,49.7,22,28,NA,NA,NA,NA,68.6,NA,NA,NA,NA
2013,"Higdon","BenJarvus Green-Ellis","CIN","RB",6,0,22,23,NA,NA,NA,85.7,36,22,28,NA,NA,NA,49.7,68.6,NA,NA,NA
2014,"Harrington","Benny Cunningham","STL","RB",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Matovina","Ben Roethlisberger","PIT","QB",7,0,NA,NA,NA,NA,NA,111.5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Kane","Ben Roethlisberger","PIT","QB",36,0,NA,NA,NA,7,NA,125,17,18,13,10,16,NA,132,92.6,67.1,111.5,NA
2015,"Higdon","Ben Roethlisberger","PIT","QB",70,0,36,NA,NA,NA,7,59.3,5,17,18,13,10,16,125,132,92.6,67.1,111.5
2012,"McShane","Ben Tate","HOU","RB",10,0,NA,NA,NA,NA,NA,80.5,32,41,NA,NA,NA,NA,106.6,NA,NA,NA,NA
2013,"McShane","Ben Tate","CLE","RB",4,0,10,NA,NA,NA,NA,77.1,33,32,41,NA,NA,NA,80.5,106.6,NA,NA,NA
2014,"Skrzyskewski","Ben Tate","CLE","RB",43,0,4,10,NA,NA,NA,53.7,25,33,32,41,NA,NA,77.1,80.5,106.6,NA,NA
2010,"Hartman","Bernard Berrian","MIN","WR",1,0,NA,NA,NA,NA,NA,113.4,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Hartman","Bernard Pierce","BAL","RB",4,0,NA,NA,NA,NA,NA,102.8,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Matovina","Bernard Pierce","BAL","RB",1,0,4,NA,NA,NA,NA,92.1,38,40,NA,NA,NA,NA,102.8,NA,NA,NA,NA
2010,"Olson","Bernard Scott","CIN","RB",2,0,NA,NA,NA,NA,NA,150.2,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Kane","Bernard Scott","CIN","RB",1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Hartman","Bills D/ST","BUF","D/ST",1,0,NA,NA,NA,NA,NA,156.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Regan","Bills D/ST","BILLS ","D/ST",5,0,NA,NA,1,NA,NA,111.3,3,NA,NA,6,NA,NA,NA,NA,156.8,NA,NA
2011,"Ready","Billy Cundiff","BAL","K",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
