"","player","year","pos","value","lag1_value","lag2_value","lag3_value","lag4_value","lag5_value"
"91","Davante Adams",2016,"WR",NA,42,NA,NA,NA,NA
"92","David Cobb",2016,"RB",NA,1,NA,NA,NA,NA
"93","David Garrard",2016,"QB",NA,NA,NA,NA,NA,3
"94","David Johnson",2016,"RB",NA,1,NA,NA,NA,NA
"95","David Wilson",2016,"RB",NA,NA,NA,NA,6,NA
"96","Davone Bess",2016,"WR",NA,NA,NA,NA,NA,1
"97","DeAndre Hopkins",2016,"WR",NA,42,5,2,NA,NA
"98","DeAngelo Williams",2016,"RB",NA,8,2,13,8,40
"99","Deion Branch",2016,"WR",NA,NA,NA,NA,NA,1
"100","Delanie Walker",2016,"TE",NA,3,1,NA,NA,NA
"101","DeMarco Murray",2016,"RB",NA,69,71,32,69,NA
"102","Denarius Moore",2016,"WR",NA,NA,NA,4,14,NA
"103","Dennis Pitta",2016,"TE",NA,NA,4,NA,NA,NA
"104","Derek Carr",2016,"QB",NA,17,NA,NA,NA,NA
"105","Derrick Mason",2016,"WR",NA,NA,NA,NA,NA,NA
"106","DeSean Jackson",2016,"WR",NA,13,26,26,37,37
"107","DeVante Parker",2016,"WR",NA,2,NA,NA,NA,NA
"108","Devery Henderson",2016,"WR",NA,NA,NA,NA,NA,NA
"109","Devin Aromashodu",2016,"WR",NA,NA,NA,NA,NA,NA
"110","Devin Funchess",2016,"WR",NA,13,NA,NA,NA,NA
"111","Devonta Freeman",2016,"RB",NA,1,NA,NA,NA,NA
"112","Dez Bryant",2016,"WR",NA,84,78,58,36,46
"113","Donald Brown",2016,"RB",NA,NA,1,NA,7,NA
"114","Donald Driver",2016,"WR",NA,NA,NA,NA,NA,1
"115","Donovan McNabb",2016,"QB",NA,NA,NA,NA,NA,13
"116","Doug Baldwin",2016,"WR",NA,1,NA,NA,NA,NA
"117","Doug Martin",2016,"RB",NA,11,73,NA,10,NA
"118","Drew Brees",2016,"QB",NA,85,106,101,102,76
"119","Duke Johnson",2016,"RB",NA,8,NA,NA,NA,NA
"120","Dustin Keller",2016,"TE",NA,NA,NA,NA,NA,1
"121","Dwayne Allen",2016,"TE",NA,1,NA,NA,NA,NA
"122","Dwayne Bowe",2016,"WR",NA,NA,2,27,26,41
"123","Early Doucet",2016,"WR",NA,NA,NA,NA,NA,NA
"124","Eddie Lacy",2016,"RB",NA,NA,NA,30,NA,NA
"125","Eddie Royal",2016,"WR",NA,1,NA,NA,NA,1
"126","EJ Manuel",2016,"QB",NA,NA,5,1,NA,NA
"127","Eli Manning",2016,"QB",NA,60,18,56,49,42
"128","Emmanuel Sanders",2016,"WR",NA,36,17,4,NA,NA
"129","Eric Decker",2016,"WR",NA,6,10,18,21,NA
"130","Felix Jones",2016,"RB",NA,NA,NA,NA,2,24
"131","Frank Gore",2016,"RB",NA,41,44,61,29,62
"132","Fred Davis",2016,"TE",NA,NA,NA,NA,22,NA
"133","Fred Jackson",2016,"RB",NA,NA,3,2,45,20
"134","Geno Smith",2016,"QB",NA,1,15,NA,NA,NA
"135","Giovani Bernard",2016,"RB",NA,13,66,17,NA,NA
"136","Golden Tate",2016,"WR",NA,29,11,1,NA,NA
"137","Greg Jennings",2016,"WR",NA,NA,1,11,56,NA
"138","Greg Little",2016,"WR",NA,NA,NA,NA,3,5
"139","Greg Olsen",2016,"TE",NA,18,4,5,NA,5
"140","Hakeem Nicks",2016,"WR",NA,NA,1,32,NA,NA
"141","Heath Miller",2016,"TE",NA,NA,1,NA,NA,NA
"142","Hines Ward",2016,"WR",NA,NA,NA,NA,NA,4
"143","Isaac Redman",2016,"RB",NA,NA,NA,3,9,NA
"144","Isaiah Crowell",2016,"RB",NA,5,NA,NA,NA,NA
"145","Isaiah Pead",2016,"RB",NA,NA,NA,6,NA,NA
"146","Jacob Tamme",2016,"TE",NA,NA,NA,NA,7,NA
"147","Jacoby Ford",2016,"WR",NA,NA,NA,NA,NA,6
"148","Jacoby Jones",2016,"WR",NA,NA,NA,2,NA,NA
"149","Jacquizz Rodgers",2016,"RB",NA,NA,NA,1,NA,NA
"150","Jahvid Best",2016,"RB",NA,NA,NA,NA,NA,NA
"151","Jake Locker",2016,"QB",NA,NA,17,2,1,NA
"152","Jamaal Charles",2016,"RB",NA,NA,NA,NA,44,NA
"153","Jameis Winston",2016,"QB",NA,25,NA,NA,NA,NA
"154","James Jones",2016,"WR",NA,NA,NA,18,NA,7
"155","James Starks",2016,"RB",NA,NA,1,NA,1,10
"156","Jared Cook",2016,"TE",NA,NA,NA,5,2,NA
"157","Jarvis Landry",2016,"WR",NA,23,NA,NA,NA,NA
"158","Jason Campbell",2016,"QB",NA,NA,NA,NA,NA,3
"159","Jason Witten",2016,"TE",NA,16,27,21,8,15
"160","Jay Cutler",2016,"QB",NA,37,39,22,30,11
"161","Jeremy Hill",2016,"RB",NA,NA,1,NA,NA,NA
"162","Jeremy Kerley",2016,"WR",NA,NA,NA,1,NA,NA
"163","Jeremy Maclin",2016,"WR",NA,12,13,NA,30,18
"164","Jermichael Finley",2016,"TE",NA,NA,NA,13,20,31
"165","Jerome Harrison",2016,"RB",NA,NA,NA,NA,NA,2
"166","Jerome Simpson",2016,"WR",NA,NA,NA,NA,NA,1
"167","Jerricho Cotchery",2016,"WR",NA,NA,NA,NA,NA,NA
"168","Jimmy Graham",2016,"TE",NA,40,69,41,35,13
"169","Joe Adams",2016,"WR",NA,NA,NA,NA,1,NA
"170","Joe Flacco",2016,"QB",NA,20,22,33,31,42
"171","Joey Galloway",2016,"WR",NA,NA,NA,NA,NA,NA
"172","John Brown",2016,"WR",NA,5,NA,NA,NA,NA
"173","John Carlson",2016,"TE",NA,NA,NA,NA,NA,NA
"174","Johnny Knox",2016,"WR",NA,NA,NA,NA,NA,11
"175","Johnny Manziel",2016,"QB",NA,NA,1,NA,NA,NA
"176","John Skelton",2016,"QB",NA,NA,NA,NA,2,NA
"177","Joique Bell",2016,"RB",NA,19,15,3,NA,NA
"178","Jonas Gray",2016,"RB",NA,1,NA,NA,NA,NA
"179","Jonathan Dwyer",2016,"RB",NA,NA,NA,1,NA,NA
"180","Jonathan Stewart",2016,"RB",NA,16,NA,NA,20,10
"181","Jon Baldwin",2016,"WR",NA,NA,NA,NA,1,NA
"182","Jordan Cameron",2016,"TE",NA,1,11,4,NA,NA
"183","Jordan Matthews",2016,"WR",NA,37,NA,NA,NA,NA
"184","Jordan Reed",2016,"TE",NA,NA,1,NA,NA,NA
"185","Jordy Nelson",2016,"WR",NA,1,NA,26,NA,5
"186","Joseph Addai",2016,"RB",NA,NA,NA,NA,NA,19
"187","Josh Freeman",2016,"QB",NA,NA,NA,NA,19,NA
"188","Josh Gordon",2016,"WR",NA,NA,NA,5,NA,NA
"189","Josh McCown",2016,"QB",NA,2,29,NA,NA,NA
"190","Josh Morgan",2016,"WR",NA,NA,NA,NA,NA,NA
"191","Julian Edelman",2016,"WR",NA,24,19,NA,NA,NA
"192","Julio Jones",2016,"WR",NA,NA,NA,NA,NA,16
"193","Justin Blackmon",2016,"WR",NA,NA,NA,1,7,NA
"194","Justin Forsett",2016,"RB",NA,NA,NA,NA,NA,NA
"195","Justin Hunter",2016,"WR",NA,NA,2,NA,NA,NA
"196","Kellen Winslow",2016,"TE",NA,NA,NA,NA,NA,4
"197","Kenbrell Thompkins",2016,"WR",NA,NA,NA,1,NA,NA
"198","Kendall Wright",2016,"WR",NA,3,7,1,1,NA
"199","Kenny Britt",2016,"WR",NA,NA,NA,7,16,25
"200","Kevin Boss",2016,"TE",NA,NA,NA,NA,NA,NA
"201","Kevin Kolb",2016,"QB",NA,NA,NA,NA,3,18
