"","player","pos","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","pred_cost","ppg"
"165","Rishard Matthews","WR",157.2,14.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709,6.90921538461538
"166","Will Fuller","WR",158.9,14.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709,5.95198461538462
"167","Chris Hogan","WR",159.1,14.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709,5.27998461538462
"168","Zach Miller","TE",159.1,14.03,NA,NA,NA,NA,12,NA,NA,NA,NA,121.4,NA,NA,NA,NA,2,8.2570672215182,7.65750769230769
"169","Zach Miller","TE",159.1,14.03,NA,NA,NA,NA,12,NA,NA,NA,NA,121.4,NA,NA,NA,NA,2,8.2570672215182,0
"170","Ted Ginn Jr","WR",159.8,14.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709,6.04605384615385
"171","Phillip Dorsett","WR",160.3,14.04,63,NA,NA,NA,NA,158.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.76667498320751,6.90362307692308
"172","Eric Ebron","TE",160.5,14.04,NA,17,NA,NA,NA,NA,150.4,NA,NA,NA,NA,NA,NA,NA,NA,8.5303996502745,6.57220769230769
"173","Paul Perkins","RB",161.2,14.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709,4.79452307692308
"174","Tajae Sharpe","WR",161.2,14.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709,3.58476153846154
"175","Pierre Garcon","WR",162.7,14.07,49,20,18,30,34,123.7,48.2,48.8,75.6,92.9,1,26,13,8,18,12.5880452657985,7.17191538461538
"176","Jordan Howard","RB",162.9,14.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709,6.17484615384615
"177","Sammie Coates","WR",165,14.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709,7.80663076923077
"178","Jared Cook","TE",165.3,14.09,NA,NA,9,14,18,NA,NA,95.5,134,150.8,NA,NA,5,2,NA,9.81589285148969,5.51406153846154
"179","Anquan Boldin","WR",167.3,14.11,45,45,33,34,22,110.4,112.7,83.4,89.8,56,6,4,18,18,28,14.6391997123143,6.12153076923077
"180","Aaron Hernandez","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,3.8073757533544,NA
"181","Ahmad Bradshaw","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,55,NA,5.11491309332826,0
"182","Alfred Blue","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,4.2290830083564,3.57373076923077
"183","Andre Brown","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.32334373788318,NA
"184","Andre Ellington","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,37,NA,NA,NA,5.94775315756894,3.85873846153846
"185","Andre Johnson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,46,NA,47,71,6.25134542448135,1.29152307692308
"186","Andre Roberts","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3.35440060232298,1.44873846153846
"187","Andre Williams","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,4.77594612620996,1.3647
"188","Anthony Allen","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849,NA
"189","Anthony Gonzalez","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"190","Antonio Bryant","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"191","Austin Collie","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3.90153317946889,NA
"192","Beanie Wells","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,25,3.85526800247057,NA
"193","BenJarvus Green-Ellis","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,22,23,3.35151314882692,NA
"194","Benny Cunningham","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.18255466159934,4.4399
"195","Ben Tate","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4,10,NA,4.50023144269522,NA
"196","Bernard Berrian","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"197","Bernard Pierce","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,4.58504693682418,0.0893230769230769
"198","Bernard Scott","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849,NA
"199","Bishop Sankey","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,4.754469597103,0
"200","Blaine Gabbert","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.32334373788318,12.7154076923077
"201","Brandon Jacobs","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.87866456112075,NA
"202","Brandon LaFell","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.32334373788318,5.30796153846154
"203","Brandon Lloyd","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,3.8029487152903,NA
"204","Brandon Myers","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,3.31564082857644,0.379684615384615
"205","Brandon Pettigrew","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,27,12,3.32902883763448,1.45801538461538
"206","Brandon Weeden","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,3.31564082857644,1.07976153846154
"207","Braylon Edwards","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.87866456112075,NA
"208","Brent Celek","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849,3.40937692307692
"209","Brett Favre","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"210","Brian Brohm","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"211","Brian Hoyer","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,5.0448972952853,1.92310769230769
"212","Brian Quick","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3.76825047168372,2.53247692307692
"213","Bryce Brown","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,3.31564082857644,0.353261538461538
"214","Cadillac Williams","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"215","Calvin Johnson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,78,79,NA,70,10.6538620821377,NA
"216","Cecil Shorts","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,5.28855074835972,3.43904615384615
"217","Cedric Benson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,19,3.86052119998547,NA
"218","Chad Henne","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,0.401807692307692
"219","Chad Ochocinco","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,3.89220121809841,NA
"220","Charles Clay","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.18255466159934,6.62221538461539
"221","Charles Johnson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,5.3207475912296,1.85670769230769
"222","Chaz Schilens","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"223","Chester Taylor","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"224","Chris Cooley","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.87866456112075,NA
"225","Chris Givens","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3.32334373788318,1.46433076923077
"226","Christian Ponder","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,3.30304289598444,0
"227","C.J. Spiller","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,35,96,10,1,6.68231287537461,4.26453846153846
"228","Clinton Portis","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"229","Cody Latimer","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3.55482257024743,2.07915384615385
"230","Cole Beasley","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3.55482257024743,5.81333076923077
"231","Colin Kaepernick","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,5.64364473344987,5.77984615384615
"232","Colt McCoy","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3.87866456112075,1.14470769230769
"233","Cordarrelle Patterson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,5.13287030812621,1.14673076923077
"234","Dallas Clark","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,3.89220121809841,NA
"235","Daniel Thomas","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,20,3.86052119998547,0
"236","Danny Amendola","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,18,NA,2,5.16177555426911,4.3091
"237","Darrius Heyward-Bey","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,3.31074580529118,2.63112307692308
"238","Darvin Adams","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849,NA
"239","Daryl Richardson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,3.95371666793478,0.290930769230769
"240","Davante Adams","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,5.96992082376005,4.77903846153846
"241","David Cobb","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3.55482257024743,0.495138461538462
"242","David Garrard","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.87866456112075,NA
"243","David Wilson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,3.80967796734849,NA
"244","Davone Bess","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.87866456112075,NA
"245","Deion Branch","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.87866456112075,NA
"246","Denarius Moore","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,14,NA,3.30272541054665,NA
"247","Dennis Pitta","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5.06340022977176,1.13933076923077
"248","Derrick Mason","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"249","Devery Henderson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"250","Devin Aromashodu","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"251","Donald Brown","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,NA,5.11970537872385,1.22242307692308
"252","Donald Driver","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.87866456112075,NA
"253","Donovan McNabb","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3.87866456112075,NA
"254","Dustin Keller","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.87866456112075,NA
"255","Dwayne Bowe","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,26,41,5.38058591962521,0
"256","Early Doucet","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"257","Eddie Royal","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3.58738446580366,4.40366923076923
"258","EJ Manuel","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,4.48809599420984,0.667192307692308
"259","Felix Jones","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,3.86112238528876,NA
"260","Fred Davis","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,3.80034893131512,0
"261","Fred Jackson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,45,20,4.67631869118175,0
"262","Geno Smith","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA,4.58975294021413,2.04216153846154
"263","Greg Jennings","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,56,NA,4.55055583552773,0
"264","Greg Little","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3.8407348317883,0
"265","Hakeem Nicks","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,32,NA,NA,5.55404355364181,0.205715384615385
"266","Heath Miller","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.18255466159934,NA
"267","Hines Ward","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.87866456112075,NA
"268","Isaac Redman","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,3.31074580529118,NA
"269","Isaiah Pead","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,3.32199569951203,0
"270","Jacob Tamme","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,3.80967796734849,4.75560769230769
"271","Jacoby Ford","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.87866456112075,0
"272","Jacoby Jones","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3.32334373788318,0
"273","Jacquizz Rodgers","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.32334373788318,1.25360769230769
"274","Jahvid Best","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"275","Jake Locker","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2,1,NA,4.29442478219789,NA
"276","James Jones","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,7,3.98477353237459,4.63846153846154
"277","Jason Campbell","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.87866456112075,NA
"278","Jeremy Kerley","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.32334373788318,1.44246153846154
"279","Jermichael Finley","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,20,31,3.64681972324209,NA
"280","Jerome Harrison","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.87866456112075,NA
"281","Jerome Simpson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.87866456112075,2.20959230769231
"282","Jerricho Cotchery","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,0
"283","Joe Adams","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849,NA
"284","Joey Galloway","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"285","John Carlson","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,0
"286","Johnny Knox","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3.87866456112075,NA
"287","Johnny Manziel","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.18255466159934,0
"288","John Skelton","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3.80967796734849,NA
"289","Joique Bell","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,15,3,NA,NA,5.32465238103911,0
"290","Jonas Gray","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3.55482257024743,1.0005
"291","Jonathan Dwyer","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.32334373788318,0
"292","Jon Baldwin","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849,NA
"293","Jordan Cameron","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,4,NA,NA,4.42491916857787,5.47803846153846
"294","Joseph Addai","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,3.89845092931792,NA
"295","Josh Freeman","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,3.81009342931156,0
"296","Josh McCown","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29,NA,NA,NA,4.99296839112831,3.86479230769231
"297","Josh Morgan","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"298","Justin Blackmon","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,3.31074580529118,0
"299","Justin Hunter","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5.09014096613071,1.10290769230769
"300","Kellen Winslow","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.87866456112075,NA
"301","Kenbrell Thompkins","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.32334373788318,1.79298461538462
"302","Kendall Wright","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,1,1,NA,4.45476424942805,5.90100769230769
"303","Kenny Britt","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,16,25,3.34863293110651,6.8926
"304","Kevin Boss","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"305","Kevin Kolb","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18,3.86360345013643,NA
"306","Kevin Smith","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,3.81656021145762,NA
"307","Khiry Robinson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.18255466159934,3.29516923076923
"308","Knile Davis","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,4.87468146539538,0.602230769230769
"309","Knowshon Moreno","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,30,4.58453122188237,0
"310","Kyle Orton","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3.87866456112075,NA
"311","Kyle Rudolph","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,16,2,NA,5.00143008037802,5.96275384615385
"312","LaDainian Tomlinson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.87866456112075,NA
"313","Lance Moore","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,15,4,3.33179754643015,0
"314","Larry Donnell","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3.55482257024743,3.48028461538461
"315","Laurence Maroney","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"316","Laurent Robinson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849,NA
"317","Lee Evans","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.87866456112075,NA
"318","Leonard Hankerson","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.80967796734849,1.42515384615385
"319","Leon Washington","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"320","Malcom Floyd","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,9,NA,3.08010844026882,NA
"321","Marcedes Lewis","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3.87866456112075,2.46557692307692
"322","Mario Manningham","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40,3.85427148876596,NA
"323","Marion Barber","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"324","Mark Sanchez","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3.87866456112075,11.3473923076923
"325","Marqise Lee","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5.18255466159934,2.80462307692308
"326","Marques Colston","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,36,35,28,5.73962867416616,0
"327","Marshawn Lynch","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3.89845092931792,0
"328","Martavis Bryant","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,4.2290830083564,0
"329","Matt Cassel","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,3.80967796734849,0.909430769230769
"330","Matt Hasselbeck","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.87866456112075,NA
"331","Matt Leinart","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
"332","Matt Schaub","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,35,64,4.10109805337668,0.0351461538461538
"333","Maurice Jones-Drew","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,64,NA,79,6.67074350338804,NA
"334","Michael Bush","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,3.84761707589742,NA
"335","Michael Turner","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,72,3.84754223670776,NA
"336","Michael Vick","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5.14693034890866,0
"337","Mike Sims-Walker","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.87866456112075,NA
"338","Mike Thomas","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3.89845092931792,1.65384615384615
"339","Mike Thomas","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3.89845092931792,1.43799230769231
"340","Mike Tolbert","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,3.86360345013643,3.89765384615385
"341","Mike Williams","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,3.33409976042425,0
"342","Miles Austin","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,28,39,3.93792961791432,0
"343","Mohamed Massaquoi","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84760769668094,NA
