"player_team","position","ppr_points","ppr_adp","standard_points","standard_adp"
"Joe Flacco - BAL","QB",19.7265923076923,"170.66",18.5265923076923,"137.272"
"Giants - NYG","DST",8.02398461538462,"195.05",8.02398461538462,"158.28"
"Charles Clay - BUF","TE",11.3278307692308,"166.39",6.85955384615385,"147.97"
"Mike Wallace - BAL","WR",11.2562615384615,"160.49",7.49842307692308,"146.458"
"Eric Ebron - DET","TE",11.2292846153846,"144.58",6.90069230769231,"145.36"
"Josh Lambo - SD","K",9.0888,"208.31",9.0888,"160.28"
"DeAngelo Williams - PIT","RB",10.1018076923077,"77.18",8.3552,"89.7367"
"Will Fuller - HOU","WR",11.1547615384615,"135.435",7.3764,"140.626"
"Chargers - SD","DST",7.79475384615385,"null",7.79475384615385,"160.3"
"Sebastian Janikowski - OAK","K",8.98817692307692,"192.59",8.98817692307692,"147.72"
"Michael Thomas - NO","WR",11.0599923076923,"121.71",7.21753846153846,"136.42"
"Roberto Aguayo - TB","K",8.91249230769231,"188.01",8.91249230769231,"153.7"
"Nick Novak - HOU","K",8.90499230769231,"null",8.90499230769231,"159.488"
"Tyler Eifert - CIN","TE",11.0333,"102.465",7.21016153846154,"91.7967"
"Bills - BUF","DST",7.6413,"183.79",7.6413,"148.155"
"Jason Myers - JAC","K",8.76504615384615,"null",8.76504615384615,"171.085"
"Phillip Dorsett - IND","WR",10.8949461538462,"150.765",6.93830769230769,"144.912"
"Phil Dawson - SF","K",8.69697692307692,"null",8.69697692307692,"171.7467"
"Devin Funchess - CAR","WR",10.8094461538462,"104.79",7.28216923076923,"124.3717"
"Bears - CHI","DST",7.45853076923077,"203.41",7.45853076923077,"167.92"
"Titans - TEN","DST",7.42209230769231,"null",7.42209230769231,"160.27"
"Jay Cutler - CHI","QB",19.0713615384615,"176.54",17.8713615384615,"151.246"
"Dolphins - MIA","DST",7.3322,"197.44",7.3322,"156.8825"
"Ravens - BAL","DST",7.29697692307692,"194.98",7.29697692307692,"154.745"
"Jimmy Graham - SEA","TE",10.6045538461538,"130.135",6.59579230769231,"117.5733"
"Falcons - ATL","DST",7.25466153846154,"null",7.25466153846154,"159.98"
"Tyler Boyd - CIN","WR",10.5448538461538,"139.36",6.86007692307692,"143.8483"
"Greg Zuerlein - LA","K",8.37915384615385,"null",8.37915384615385,"167.0367"
"James White - NE","RB",9.36260769230769,"112.525",6.34686153846154,"133.1183"
"Jay Ajayi - MIA","RB",9.3514,"117.87",7.74199230769231,"105.9233"
"Browns - CLE","DST",6.94930769230769,"null",6.94930769230769,"160.38"
"Anquan Boldin - DET","WR",10.2567076923077,"178.48",6.55324615384615,"148.358"
"Terrance Williams - DAL","WR",10.2090307692308,"182.7",7.03556923076923,"155.208"
"Robert Woods - BUF","WR",10.2088384615385,"201.5",6.50380769230769,"160.385"
"Tajae Sharpe - TEN","WR",10.1534307692308,"126.98",6.36098461538462,"137.9317"
"Laquon Treadwell - MIN","WR",10.0729615384615,"133.21",6.66399230769231,"139.146"
"Cowboys - DAL","DST",6.71565384615385,"198.88",6.71565384615385,"156.225"
"Brock Osweiler - HOU","QB",18.3943307692308,"164.41",17.5174076923077,"136.096"
"Patrick Murray - CLE","K",7.83854615384615,"null",7.83854615384615,"160.45"
"James Starks - GB","RB",8.83223076923077,"159.105",6.88014615384615,"140.6267"
"Kenny Stills - MIA","WR",9.8701,"163.395",6.34944615384615,"163.4"
"Jared Cook - GB","TE",9.82050769230769,"140.41",6.30696153846154,"137.455"
"Derrick Henry - TEN","RB",8.71116923076923,"83.49",7.69105384615385,"95.375"
"Andrew Franks - MIA","K",7.65789230769231,"null",7.65789230769231,"160.425"
